,cause,effect,explanation,Cause:Effect,Cause+Truth:Effect,Cause:Truth+Effect,CEQ
31,His action led to the movement of the wheels.,The machine was set in motion.,Wheels move from one place to another by moving a piece of metal.,0.028412480102118325,0.03697952208349869,0.02469312523639153,0.008567041981380363
32,Jack's interest is to study human species.,He decides to choose anthropology as his major in college.,In anthropology he studies the human species as a whole.,0.046256054179629406,0.044922546149601665,0.06020917668789065,0.013953122508261244
33,Father of our religion combined a union of opposite tenets.,His action of syncretism was praised.,Synaptism is the separation of one faith from another.,0.07006684983923298,0.056189541181417786,0.07553869839570586,0.005471848556472883
34,Various features show that this is a dicot in the family Piperaceae.,Researchers suspected it is a peperomia.,Piperomia is a common name given to a group of small flowering plants found in the genus Piperaceae.,0.009017968940568739,0.01576518092392855,0.018008583687964937,0.008990614747396198
35,Tom has measured the magnetism of the material.,It is 15 gammas.,Magnetism is a measure of the magnetic field of a material.,0.013036655634921927,0.014829488381273315,0.05187136186804673,0.0388347062331248
36,Tom studied the types of polypropylene.,He found that they came in two types.,Polypropylene is a type of polymer.,0.002967176661891814,0.0036361071356666454,0.009330733554650245,0.006363556892758431
37,The source of the mud was investigated.,It was reported that the soil source was very rich.,Mud is rich in minerals such as calcium carbonate.,0.027807040484179982,0.038720744769358814,0.028381590910737473,0.010913704285178832
38,The student feel anxious to take the exam.,Her teacher gave her a warm smile.,Examinations can be stressful.,0.05162881643335977,0.035742355126294284,0.0632575351870497,0.011628718753689926
39,This charity donates money to Asian areas with famine.,Some people western india were helped.,Indians are the most vulnerable group to famine.,0.03477747324294414,0.03379270206672096,0.0399480492954477,0.00517057605250356
40,The state began to crack down on competitive economic activities in an all-round way.,The state has launched a policy of collusion.,Collusion is the practice of conducting unfair business in the name of competition.,0.03882666483606296,0.040124781765795876,0.05767084954970436,0.018844184713641403
41,Tom improved his learning efficiency today.,He finished all his homework ahead of schedule.,Preparation is the process of adjusting to changes in the environment.,0.025290376265732734,0.016497013735956956,0.028687336992365847,0.0033969607266331123
42,Tom wants to eat watermelon.,Tom cut the rind of the watermelon.,Rind is a type of seed-like plant.,0.153960343378905,0.038536815006104105,0.1854938921964062,0.0315335488175012
43,Tom give the circuit voltage.,Tom has observed charge movement.,Charge is a measure of the amount of current flowing through a circuit.,0.024227973693144705,0.02618648065213792,0.04224012456456142,0.018012150871416718
44,This child caught roseola.,The child had a fever which followed by a rash.,Roseola can also be a symptom of a fever caused by a viral infection.,0.04023143974166516,0.07956541725454207,0.04709758038205408,0.03933397751287691
45,A species gradually adapted to its environment.,This phenomenon is called speciation.,Speciation is the gradual adaptation of a species to a new environment.,0.015639407805369068,0.014858433042188986,0.03125152620332263,0.015612118397953564
46,Tom was studying how body temperature rises.,He found out that cytokines worked in it.,Cytokines are part of the body's defense system to keep the body from getting too hot.,0.03720956622876639,0.03613641875287665,0.03261401549638218,-0.0010731474758897339
47,Now it's time to remove the drugs from the patient's body.,Various elimination processes was adopted to achieve that.,Dihydrocodone is one of the most widely used drugs in the elimination of certain drugs.,0.024550845044450497,0.019790925051048184,0.020173855440670418,-0.004376989603780079
48,He successfully solved the problem.,He has a clear understanding of this problem.,Diagnosis is the identification of a specific type of disease.,0.016183855272470724,0.018988159790258044,0.018915075041342825,0.0028043045177873205
49,The villagers were happy about the harvest.,They had enough food this year.,Harvest is a time of celebration.,0.005974623104841864,0.007052703741057522,0.007071014654914646,0.0010963915500727828
50,The lecturer is talking about t lymphocytes.,I can hear t-cells sometimes.,T-cells are the most common type of t-cell producing cells in the human body.,0.005311465456612885,0.005367962634384663,0.017447346958219492,0.012135881501606608
51,The scientist put some pyridine in the water.,He found the pyridine disappeared.,Pyridine is one of the most commonly used drugs in the treatment of alcohol-induced liver damage.,0.03983628156554978,0.012536199737418315,0.03760796093554951,-0.002228320630000273
52,Amy served as an assistant in this company.,Amy is good at services work.,Assistants provide services.,0.009389513344244293,0.00833021359923274,0.013600441514463015,0.004210928170218722
53,Virus attacked the mosquitoes.,Human might get infected owing to sick mosquitoes.,Viruses can infect humans by infecting the body's immune system with a virus known as a chik.,0.11439983840030742,0.15156599960723646,0.12241412761578532,0.037166161206929046
54,Henry always runs into hindrances in doing business.,It is difficult for him to get mind equilibrium now.,Balance is the ability to maintain a steady state of mind in an environment.,0.015591848076705673,0.015749130371378324,0.00991832091278834,0.00015728229467265077
55,The school will hold a ceremony the day after tomorrow.,The school will hold a simulation in advance tomorrow.,Simulation is the process of creating a reality from a real-world experience.,0.015394624468850088,0.021085967776836117,0.015544334149111574,0.005691343307986029
56,Tom has taken use of two pieces of magnets to make his experiment.,He has proved something about the attraction.,Magnetism is the ability of matter to move in a magnetic field.,0.01348719339431444,0.017027650453480186,0.11037932917195263,0.0968921357776382
57,The small chicken shoud be incubated under the same temperature.,Tom takes use of a thermostat.,Thermists use a thermocouple to control the temperature of the chicken's body.,0.06022627614124107,0.041542075046199896,0.1295292923491017,0.06930301620786064
58,She is allergic to yeast.,She cannot have contact with dough.,Erythromycin can be used to prevent the spread of yeast from the skin to the blood.,0.03581584757361605,0.02296322419051032,0.04399817039168293,0.008182322818066884
59,The workers have no idea about how to operate the computer.,The leader taught them in person.,Communication is the process of communicating with one another through the use of a computer.,0.015200353750794622,0.011634880537519153,0.020367225584688887,0.005166871833894264
60,The patient with fibroadenomas read his report of mammography.,He was in relief for its benign appearance.,Mammograms are a type of biopsy to confirm the presence of a cancerous cell.,0.03942587974422856,0.03997170659468345,0.12669492699717455,0.08726904725294599
61,The children will be shipped off to a boarding school.,Their parents taught their children how to solve living problems independently before going to school.,Pupils learn to solve life problems in a group environment.,0.03682558212183698,0.05071962803657568,0.06026654798356521,0.02344096586172823
62,He went to school.,He learned a lot.,He is an engineer.,0.01646221828625925,0.0013391965955348085,0.012009062637566905,-0.004453155648692345
63,The workers are in charge of cleaning debris.,They have to consider the waste.,Furniture is used as a source of waste.,0.010451144518567518,0.00791519371252836,0.014037882495905832,0.003586737977338314
64,He asked the cardiologist to watch the condition of the heart.,The doctor said that his heart rhythm is uneven.,Cardiologists use a variety of techniques to detect irregular heartbeats.,0.050338897024436925,0.05295266213122493,0.08609519123843598,0.035756294213999056
65,Enzymes are necessary for children's growth.,Children are encouraged to eat sprouts.,Sprouts are a good source of protein.,0.020439427988457267,0.026121344233399506,0.018071236778346902,0.005681916244942239
66,The house of the people holds justice.,Parliament is a place of justice.,Justice is the process of bringing about the end of oppression.,0.017417088088976202,0.021395239559624243,0.017120223832608444,0.003978151470648041
67,The man devoted himself to journalism.,He mastered the popular language used in pursuit of truth.,Journalism is the art of making sense of facts through the use of spoken language.,0.021615281933856294,0.04222882896937694,0.02173364746657296,0.02061354703552065
68,Tom found a small dome-shaped beetle.,He said he got a ladybug.,Ladybugs are small beetles about the size of a man's foot.,0.1733950564577081,0.017946200352987916,0.19828873918086967,0.02489368272316156
69,The primates didn't want to be exhibit animals.,They escaped from the zoo.,Pythons are solitary animals with only one mate at a time.,0.07052280543890596,0.04551044253943604,0.05242945243536619,-0.018093353003539772
70,The root of the plant rotted.,"In order to save the plant, Tom gave it a rhizoid.",Rhinodonts are one of the few plants capable of producing rhizoids.,0.007510950837490321,0.007405663908451703,0.0109165180788477,0.0034055672413573785
71,Tom was a shepherd.,He took care of a flock of sheep.,Pheasants live in herds.,0.19479108475813497,0.015934840278400954,0.15856377927963228,-0.0362273054785027
72,Tom feels that his asthma is about to attack.,He eats some singulars.,Nachos are a type of peanut-based peanut-butter-based food with a high concentration of.,0.009615161148109756,0.01830829904011284,0.014838151897638286,0.008693137892003084
73,The teacher gives an example to illustrate the grammar point.,But the students can't understand the example.,Grammar is the process of describing a grammar point in a text.,0.04053010045730396,0.034137904364190674,0.05701793677196222,0.016487836314658263
74,Nobody has seen edaphosauruses before.,The scientist observed its appearance.,Edaphosurs are very similar to other echinoderms.,0.00576011320309794,0.0157407299538675,0.005082891524348469,0.00998061675076956
75,All relatives entered the family room.,They sat on the chairs one by one.,Cousins sit on the other side of the room.,0.00584010085661476,0.005130125024743162,0.022673918754573343,0.016833817897958583
76,"There are many people, among which part of them are with normal sight and part of them are blind.",Normal people can see everything and blind people are in a dark world without any light.,Insight is the ability to see the entire body without the aid of the eye.,0.02570233472014525,0.03173002281038373,0.029026231022503336,0.00602768809023848
77,The wine must be kept from becoming flabby.,Acidity should be used.,Acidity is a measure of the amount of water in a wine when it is drunk.,0.09426102609471815,0.07794887070072329,0.05066985362759687,-0.01631215539399486
78,Tom ran into an anemone.,He was poisoned.,Anemones are the most common cause of death in children with anencephaly.,0.005692790458810497,0.03284563357955831,0.007034962438850062,0.027152843120747814
79,The company keeps the steel in a wet warehouse.,The company loses one million due to rust after a few months.,Roughness is a measure of the amount of time it takes to break down a material.,0.06470988736974856,0.05474605651544062,0.05194739359643442,-0.009963830854307937
80,Mary ate lots of chocolate.,She also intook theobromine.,Intake of erythromycin is associated with a decrease in the risk of type 2 diabetes mellitus.,7.443383762258322e-05,0.00011165075643387477,0.010318989435144572,0.01024455559752199
81,Tracheilds are not suitable to be used as fire materials.,Farmers do not use softwoods as firewoods.,Softwoods are a common type of wood used in the production of firewood.,0.032163151181195074,0.12928057685178312,0.040956503860166846,0.09711742567058805
82,The field was very quiet at night.,The silence was broken by several bird calls.,Crocodiles make their way to the open field in the early hours of the morning to feed on insects.,0.029837244885225916,0.034178289368114644,0.04132894336506857,0.011491698479842657
83,The possum has eaten an ill bird.,It died.,Possums have a hard time digesting food.,0.01205101448835407,0.013986818084622162,0.07070192349268306,0.05865090900432899
84,He served as an accountant in this company.,He worked hard to manage the balance.,Accounting is the process of managing the balance of a company's financial statements.,0.011629884488441164,0.017728853381868706,0.026022758819396596,0.014392874330955431
85,Lyle has ophthalmologist.,Lyle's doctor treated him with a laser.,Lasers are the most common type of laser used in the field of ophthalmology.,0.010364830448114797,0.016324002609165757,0.009931627558612955,0.0059591721610509595
86,This experiment requires a gray-white solid with a shiny surface.,The teacher provided tellurium.,Tellurium is a type of silvery-white material.,0.008820024622035428,0.010088536351968977,0.009437523894476356,0.0012685117299335493
87,Their new baby born yesterday.,This new life starts to cry.,Crying occurs when the baby is about to reach sexual maturity.,0.03962361109071449,0.038804210519478,0.0315906424283384,-0.0008194005712364866
88,The vocal folds vibrated.,Compression sound waves were produced.,Compression is the vibration of the vocal folds.,0.0525736257044471,0.03304334816605006,0.12741007295158327,0.07483644724713617
89,Jack's hemoglobin levels are low.,He has been dizzy lately.,Dizziness is a common symptom of anemia.,0.013285145906006953,0.0053752840719770946,0.021369788165336467,0.008084642259329514
90,Jerry was baptized.,He was identified by the believers.,Baptism is the identification of one's faith with another.,0.03929236652807971,0.03093285609315703,0.3736838657677319,0.33439149923965217
91,"Emma, who is a regular coffee drinker, is very hyper these days.",The doctor diagnosed him as caffeinism.,Caffeinism is a common side effect of many coffee drinks.,0.007689302466939795,0.011300429420882371,0.01834286804459903,0.010653565577659237
92,Tom eats some health products containing enzymes every day.,He defecates on time every day.,Enzymes are the body's way of protecting itself from harmful bacteria.,0.013389130954483556,0.012803688024395379,0.039604879853133504,0.02621574889864995
93,The angry patient was injected depressants.,He felt calm and relaxed.,Depressants help to calm the mind.,0.033263733650424926,0.03894514205790989,0.035471925592008444,0.005681408407484961
94,The victims were taken to the police office to identify the crimnimal.,They tried to recall the face of the criminal.,Crimnials are a type of crime in which the face is the object of the crime.,0.03576299056586417,0.05410651612514983,0.05952199514528578,0.023759004579421608
95,Lucy has bought a llot of fresh fruit.,She has made a glass of smoothy.,Lettuce is a soft-drinkable drink made from the leaves of the lettuce plant.,0.1591352141678266,0.04749512421491132,0.13145391808321813,-0.02768129608460848
96,He just took the pills.,He wants to sleep very much now.,Pills have anxiolytic effects.,0.014033043205780728,0.006780091922390826,0.02272578962981784,0.008692746424037112
97,My mother stewed a mahimachi for me at noon.,I've been picking fish bones for a long time.,Mahimas are the oldest fish bones in the family.,0.006671821721883683,0.00847451360646096,0.005861188814794352,0.0018026918845772781
98,They are botanists.,They collect specimens everyday.,Botanists collect specimens from plants to make sure they are of the best quality.,0.0014904078432979848,0.022316468148120362,0.0011452932757226044,0.020826060304822376
99,The old man wants to catch some sunfish.,He caught a bluegill.,Bluegills live in the ocean.,2.841520446642377,0.03988298753868938,4.25834542327904,1.4168249766366627
100,This mobile phone is not durable.,The battery often fails to charge.,Laptops have batteries.,0.024032711008811384,0.03706844535892637,0.033320720008337495,0.01303573435011499
101,Tom was finding the fly in his house at night.,He failed.,Flys are one of the most common causes of death in children under the age of two.,0.004891387977743381,0.004983154960316179,0.012037930812254792,0.007146542834511411
102,The baby ground squirrels were hidden by their mom.,They were not found by the rattlesnakes.,Rattlesnake nests are nestled in small cavities on the ground around the nest site.,0.002463602947511054,0.006070089204279571,0.033219550570961244,0.03075594762345019
103,Tom committed incest and rape.,He was sentenced to death.,Murder is the act of killing a human being in the name of religion.,0.02087738121075626,0.02087545535860152,0.03368478947759039,0.01280740826683413
104,Gongress passed some proposals.,Small buiness benefited from these proposals.,Budgets help small businesses.,0.008540774418955097,0.02072147977723072,0.02704736903857508,0.01850659461961998
105,Tom's taste buds on his tongue all lost their function.,Tom couldn't be able to know the taste of whatever he eats.,Taste is the ability of the brain to make sense of the food it is eaten by the body.,0.018135201910010487,0.0421251419856929,0.028292453055653484,0.023989940075682413
106,He mistook lots of thiocyanate.,His thyroid can't uptake iodine normally.,Thiocarboxylic acid is the mainstay of thimerosal in the body.,0.05691021692102491,0.029792807047552144,0.031432405700413044,-0.025477811220611865
107,This creature has no anatomies.,Tom decided it isn't a colugo.,Colugos have no anatomic features at all.,0.01298112992047678,0.01494383828039236,0.018045729567955946,0.005064599647479165
108,He fed meat to the Jackrabbit.,The jackrabbit doesn't eat at all.,Jackrabbits are omnivores.,0.02593096923627933,0.03182631866263841,0.022255255254179557,0.005895349426359078
109,Tom perfers beers made with bottom Fermenting yeasts.,He ordered lagers in the bar every time.,Lagers are a type of beer made with bottling yeast.,0.2413420940367314,0.2845192887164809,0.3431129396704531,0.10177084563372168
110,The species populations in this area changed abnormally over time.,The process of Succession here was worth exploring.,Succession occurs when a population is altered by a change in the environment.,0.03888381242641406,0.036820295250270814,0.04764829878052102,0.008764486354106961
111,Tom has put different kinds of materials in the furnace.,Only beryllium has been left.,Beryllum is the most common type of bioluminescent metal.,0.01746106053407216,0.03907890989748004,0.043552727131478,0.026091666597405843
112,The ancients recorded by picture writing.,Pictographs were formed step by step.,Pictographs are the oldest known type of photographic writing.,0.025778157094624346,0.03063277294682538,0.034415052283985406,0.00863689518936106
113,"My car is exposed to the acid rain,.",The paint on my car is clipped.,Paint can also damage the surface of the car.,0.011334412794456595,0.022570219833712747,0.01862059333501954,0.011235807039256153
114,Jane wanted to buy a book full of maps bound together.,She bought some atlases.,Atlases have maps.,0.010464668967588527,0.009249293901721719,0.01542430277705484,0.004959633809466313
115,Mary put the cake into the refrigeratory.,Mary found the cake was rich in moisture the next day.,Moisture is a measure of the amount of moisture in a food when it is removed from the air.,0.01908599875440746,0.03231862892669798,0.017231549202788868,0.013232630172290517
116,The doctor treated little Tom's autism with medication.,"After three months of treatment, his autism has improved significantly.",Autism is a neurological disease characterized by changes in the brain's ability to control the body's functions.,0.02383520976411395,0.03258983352595147,0.09030226382615587,0.06646705406204192
117,There are many trees with different ages.,They have different textures.,Tree growth depends on the size of the tree.,0.00996153379785775,0.016230316909242454,0.018338590764852874,0.008377056966995124
118,Surface gauss depends on thickness and size of the magnet.,Gauss strength diminishes the further the distance from the magnetic field.,Gauss is a measure of the amount of time it takes to move from one point in space to another.,0.1532230150311142,0.07896201427289884,0.09359430682424408,-0.059628708206870135
119,This group of Greys have grown up.,They are large.,Greys are a small group of people who grew up in a small community.,0.005194273768763158,0.01309056317619655,0.00992364583048399,0.007896289407433392
120,The sink has great capacity.,It can hold water up to two liters.,Sinks have capacity.,0.022434500554891226,0.019478962056297903,0.014966262347086165,-0.0029555384985933235
121,Jack looks at the shape of the rotifers.,He saw their bilateral symmetry.,Rotifers have a bilateral symmetry similar to the rhomboids.,0.008092518562733323,0.013230512003877854,0.011266007454920195,0.005137993441144531
122,Tom did examinations to see whether he got cancer.,The doctor's diagnosis confirmed his thought.,Cancer is one of the leading causes of death in the elderly.,0.03219044060489098,0.023693589464896407,0.02486631291142519,-0.007324127693465788
123,Tom believes that dogs and wolves belong to the same phylum.,Tom is wrong.,Phylum is a group of groups of animals with a common name.,0.007895527889446646,0.0096476100786593,0.07191460932853551,0.06401908143908887
124,The light was off at 10 pm.,My pupils became bigger suddenly.,Pupils become smaller when the light is off.,0.0036100438451848083,0.004560055383391337,0.005033881751159667,0.0014238379059748588
125,Susan is a midwife.,She was specially trained in childbirth.,Midwifes are physicians who specialize in the care of women who are at risk of developing preterm birth.,0.029730271725032637,0.09381536485857395,0.01706474318595988,0.06408509313354131
126,He invited his partners to his residence.,They entered his residence.,Men enter residences.,0.003482112956350984,0.00680858639375873,0.0070285717007763,0.003546458744425316
127,"In the humid environment, pecan is easier to grow mold on it.",Pecan should be stored in the relatively dry environment.,Pecans are less susceptible to mold growth in humid conditions than other hard-to-grow plants.,0.023901504411672016,0.027613277973671115,0.048800158975956125,0.024898654564284108
128,This biologist has problems in other scientific fields to solve.,Another bilogist helps him.,Bilogist is a group of scientists who study the effects of light on the environment.,9.570064837189274e-05,0.00011484077804627112,0.02249034111334582,0.022394640464973928
129,Leaders of pyramid schemes are extremely good at instilling their own perceptions to members.,"As time goes by, their influence on members grows stronger and stronger.",Pseudo-psychology is the study of the influence of external influences on the perception of self.,0.012616535930979882,0.013584920433054096,0.016478515326095844,0.0038619793951159623
130,Tom was looking for Amphibians in winter.,He could only found some sleeping.,Amphibians are one of the few animals to survive in the coldest part of the year.,0.09263340612367187,0.044829446049254824,0.05176102963685037,-0.040872376486821495
131,The murderer didn't accept himself for a whole life.,He didn't achieve wellness.,Self-esteem is the ability to live a full life.,0.012078301388347116,0.015070496292255965,0.023073682142571716,0.0109953807542246
132,My pet tom is in the mating season.,He eats very little.,Mating season is the time when the breeding season begins.,0.013668713896834503,0.017628056619409277,0.025759114181751686,0.012090400284917183
133,Tom's family go hiking on the plain.,They find mangroves.,Mangroves are one of the most abundant natural habitats on the planet.,0.0037341910576973434,0.025060094944561802,0.009446497433560602,0.021325903886864457
134,This kind of bear grew in the forest.,This kind of bear habitates in the forest.,Bears are omnivores.,0.012067463565576097,0.009050107958997645,0.010756407815561121,-0.0013110557500149757
135,Water with minerals flows in the water mains.,On the surface of water mains is some solid stuff.,Moisture is a natural by-product of the mineralization of the water.,0.04668975694296889,0.044349109649395584,0.05600909454767739,0.009319337604708502
136,She was particularly fat.,She had been suffering from diabetes.,Diabetes is a disease of the pancreas.,0.008761427761268318,0.02140008167342979,0.01223621732518836,0.012638653912161471
137,It is in the breeding season.,Testicles descend.,Testicles descend from the mother's ovaries.,0.030391482523997607,0.02797424627415484,0.03337325774200079,0.002981775218003184
138,The anaconda saw his food in the forest.,He opened his mouth.,Anacondas swallow their prey by opening their mouths to swallow it.,0.0072672664937871835,0.04115327752334738,0.028687590600945643,0.033886011029560195
139,The rope connected to my dog was broken.,It ran to other's areas.,Ropes connect to areas of weakness.,0.013791143728734136,0.013214749735723015,0.012559277081028742,-0.0005763939930111209
140,Tom was standing in the river and can't move a step.,His legs are entangled in duckweed.,Duckweed is one of the most common insecticides used in the field to control the effects of insect pests.,0.026432673493777255,0.025761255803391798,0.028822355454962364,0.0023896819611851083
141,Tom observed the nucleoli of different kinds of chromosomes under the optical microscope.,Tom observed that most of them contain several associated centromeres.,Centromes are among the most common types of chromosomes found in the human genome.,1.118279402038644,1.4359600979973768,0.7404556315285984,0.31768069595873283
142,The research set specific aspartate sites.,Caspases cleave target proteins.,Aspartate is cleaved at the site of cleavage.,0.043507767927968385,0.5600706710127438,0.03208186489404482,0.5165629030847754
143,We succeed in the end.,Our fate has been changed.,Ends are defined as the process of transforming a state into a state of being.,0.012339123810004488,0.01350037404986672,0.013358203451148432,0.0011612502398622316
144,Some plants are infected by a rare kind of virus.,Their cotyledons are destroyed first.,Cottontons are one of the few plants in the plant family known to be susceptible to the most common.,0.004828380379817848,0.018269175058935605,0.017124712435002878,0.013440794679117758
145,They went to catch eels today.,Many were found after seeing a leaking head in crevices.,Eels are very sensitive to air pressure.,0.010796331591497751,0.03255583444909064,0.011557181757526647,0.021759502857592886
146,Tom's goats were attacked by vampires.,The goats died of blood shortage.,Vampires are a type of vampire.,0.040875521281918396,0.03438738627549332,0.03537798198171062,-0.005497539300207778
147,This user spent over 8 hours a day at this site.,This user had a high level of stickiness.,Stickiness refers to the amount of time spent in a particular location on a specific area of the body.,0.01496882093090548,0.020943908002731562,0.028660170296350436,0.013691349365444956
148,Lucy gave me a pen.,I bought ink for the pen.,Pens have ink.,0.05868880878551714,0.05125660414492978,0.04968552683923001,-0.007432204640587359
149,We need a person skilled in all aspects of construction.,A carpenter will be recruited.,Carpenters are skilled builders skilled in the art of building.,0.011947046735187282,0.034408106503201065,0.031154694525899796,0.022461059768013783
150,Tom was born and brought up in Indinana.,Tom is American.,Indinana is part of India.,0.00770709756088441,0.011410218006754012,0.005345018841876199,0.0037031204458696024
151,Some enzymes are working on the dead body of a bird.,The body decomposes gradually.,Deletion is the gradual process of the body decomposing slowly.,0.013839945591770165,0.014879526540773229,0.028052605869761396,0.014212660277991231
152,Many goods have been reduced in price recently.,Deflation makes all kinds of shops miserable.,Deflation is the process of reducing the quantity of goods produced by an economy.,0.034538387831591376,0.034894796592040846,0.037618942100826884,0.003080554269235508
153,Judy suffered from tics.,She had involuntary movements in her body.,Tics are involuntary movements caused by a lack of oxygen in the blood.,0.03017227201098038,0.031190227369439598,0.034557248453345756,0.004384976442365376
154,Tom wants to have a bath.,Tom filled the bath tub with hot water.,Baths are places of warm water in the body to cool down the body.,0.05623325695023086,0.060011347503990335,0.03596790292920192,0.0037780905537594736
155,This monster killed a boy.,This monster was pleased.,Fights cause pleasure.,0.019122524858830092,0.018227181082866754,0.018365376923038832,-0.0007571479357912601
