cause,effect,explanation
Tom has measured the magnetism of the material.,It is 15 gammas.,Magnetism is a measure of the magnetic properties of a material.
Tom studied the types of polypropylene.,He found that they came in two types.,Polypropylene is one of the most widely used plastics.
The source of the mud was investigated.,It was reported that the soil source was very rich.,Mud is rich in minerals.
The student feel anxious to take the exam.,Her teacher gave her a warm smile.,Emotions cause smiles.
This charity donates money to Asian areas with famine.,Some people western india were helped.,Donations help cause famine in Asian countries.
The state began to crack down on competitive economic activities in an all-round way.,The state has launched a policy of collusion.,Collusion leads to unfair competition.
Tom improved his learning efficiency today.,He finished all his homework ahead of schedule.,Lessons contribute to learning efficiency.
Tom wants to eat watermelon.,Tom cut the rind of the watermelon.,Rind is one of the most tender plants on earth.
Tom give the circuit voltage.,Tom has observed charge movement.,Charge is a measure of the amount of charge moved by an object.
This child caught roseola.,The child had a fever which followed by a rash.,Roseola can be fatal if it occurs in children.
A species gradually adapted to its environment.,This phenomenon is called speciation.,Speciation is the gradual adaptation of a species to an environment.
Tom was studying how body temperature rises.,He found out that cytokines worked in it.,Cytokines help regulate body temperature.
Now it's time to remove the drugs from the patient's body.,Various elimination processes was adopted to achieve that.,Dihydrocannabinol is one of the most widely used psychoactive substances in the human body.
He successfully solved the problem.,He has a clear understanding of this problem.,Philosophy is the study of the mind.
The villagers were happy about the harvest.,They had enough food this year.,Harvest is a time of celebration.
The lecturer is talking about t lymphocytes.,I can hear t-cells sometimes.,T lymphocytes are part of the t-cell family.
The scientist put some pyridine in the water.,He found the pyridine disappeared.,Pyridine is one of the most abundant substances in nature.
Amy served as an assistant in this company.,Amy is good at services work.,Assistants have skills.
Virus attacked the mosquitoes.,Human might get infected owing to sick mosquitoes.,Mosquitoes are susceptible to viruses.
Henry always runs into hindrances in doing business.,It is difficult for him to get mind equilibrium now.,Hindrances have mental equilibrium.
The school will hold a ceremony the day after tomorrow.,The school will hold a simulation in advance tomorrow.,Simulation is used to simulate events.
Tom has taken use of two pieces of magnets to make his experiment.,He has proved something about the attraction.,Magnetism is the attraction of two objects.
The small chicken shoud be incubated under the same temperature.,Tom takes use of a thermostat.,Thermogenesis is the process of transferring heat from one cell to another.
She is allergic to yeast.,She cannot have contact with dough.,Bread contains yeast.
The workers have no idea about how to operate the computer.,The leader taught them in person.,Communication is the process of communicating with one another.
The patient with fibroadenomas read his report of mammography.,He was in relief for its benign appearance.,Mammography is the most benign of all imaging techniques.
The children will be shipped off to a boarding school.,Their parents taught their children how to solve living problems independently before going to school.,Parents teach children skills.
He went to school.,He learned a lot.,Homeschooling is the education of children.
The workers are in charge of cleaning debris.,They have to consider the waste.,Cleaners use waste.
He asked the cardiologist to watch the condition of the heart.,The doctor said that his heart rhythm is uneven.,Cardiologists see irregularity.
Enzymes are necessary for children's growth.,Children are encouraged to eat sprouts.,Sprouts are one of the most nutritious foods on the planet.
The house of the people holds justice.,Parliament is a place of justice.,Parliaments have assemblies.
The man devoted himself to journalism.,He mastered the popular language used in pursuit of truth.,Journalism is the art of communicating with the public.
Tom found a small dome-shaped beetle.,He said he got a ladybug.,Ladybugs are small dromedaries shaped beetles.
The primates didn't want to be exhibit animals.,They escaped from the zoo.,Zoos are places of escape.
The root of the plant rotted.,"In order to save the plant, Tom gave it a rhizoid.",Rhizoids are plants with rhizoids.
Tom was a shepherd.,He took care of a flock of sheep.,Pilchers are herders.
Tom feels that his asthma is about to attack.,He eats some singulars.,Sulphur is one of the most common asthma-causing substances in the body.
The teacher gives an example to illustrate the grammar point.,But the students can't understand the example.,Examples have grammar points.
Nobody has seen edaphosauruses before.,The scientist observed its appearance.,Edaphosuruses appear to have appearances.
All relatives entered the family room.,They sat on the chairs one by one.,Relatives sit on chairs.
"There are many people, among which part of them are with normal sight and part of them are blind.",Normal people can see everything and blind people are in a dark world without any light.,Blindness is one of the leading causes of blindness.
The wine must be kept from becoming flabby.,Acidity should be used.,Acidity is a measure of the amount of carbon dioxide in the air.
Tom ran into an anemone.,He was poisoned.,Anemones are toxic.
The company keeps the steel in a wet warehouse.,The company loses one million due to rust after a few months.,Steel is susceptible to rust.
Mary ate lots of chocolate.,She also intook theobromine.,Cocoa contains a number of compounds known as anticonvulsants.
Tracheilds are not suitable to be used as fire materials.,Farmers do not use softwoods as firewoods.,Softwoods are firewood.
The field was very quiet at night.,The silence was broken by several bird calls.,Blindness is a common cause of bird calls during the day.
The possum has eaten an ill bird.,It died.,Possums live in colonies.
He served as an accountant in this company.,He worked hard to manage the balance.,Accumulation is the process of managing the balance of a business.
Lyle has ophthalmologist.,Lyle's doctor treated him with a laser.,Lasers are used to treat ocular diseases.
This experiment requires a gray-white solid with a shiny surface.,The teacher provided tellurium.,Tellurium is a silvery-white liquid with a polished surface.
Their new baby born yesterday.,This new life starts to cry.,Crying is the start of a new life.
The vocal folds vibrated.,Compression sound waves were produced.,Vibration is produced when a vocal fold vibrates in response to a loud sound wave.
Jack's hemoglobin levels are low.,He has been dizzy lately.,Hemoglobin is a measure of the amount of oxygen in the blood.
Jerry was baptized.,He was identified by the believers.,Baptism is the identification of believers with unbelievers.
"Emma, who is a regular coffee drinker, is very hyper these days.",The doctor diagnosed him as caffeinism.,Caffeinism is a condition characterized by hyperactivity in the brain.
Tom eats some health products containing enzymes every day.,He defecates on time every day.,Defecation is the process of defecating on time.
The angry patient was injected depressants.,He felt calm and relaxed.,Depressants have anxiolytic properties.
The victims were taken to the police office to identify the crimnimal.,They tried to recall the face of the criminal.,Crimnials have faces.
Lucy has bought a llot of fresh fruit.,She has made a glass of smoothy.,Lettuces have smooth surfaces.
He just took the pills.,He wants to sleep very much now.,Pills have anxiolytic effects.
My mother stewed a mahimachi for me at noon.,I've been picking fish bones for a long time.,Mahimachi is one of the oldest fish bones in the world.
They are botanists.,They collect specimens everyday.,Botanists collect specimens.
The old man wants to catch some sunfish.,He caught a bluegill.,Bluegills are native to Australia.
This mobile phone is not durable.,The battery often fails to charge.,Phones have batteries.
Tom was finding the fly in his house at night.,He failed.,Flys are very difficult to detect.
The baby ground squirrels were hidden by their mom.,They were not found by the rattlesnakes.,Rattlesnake nests contain nesting squirrels.
Tom committed incest and rape.,He was sentenced to death.,Crucifixion is the act of killing a loved one.
Gongress passed some proposals.,Small buiness benefited from these proposals.,Crowds benefit from crowds.
Tom's taste buds on his tongue all lost their function.,Tom couldn't be able to know the taste of whatever he eats.,Taste is the ability of taste buds to function.
He mistook lots of thiocyanate.,His thyroid can't uptake iodine normally.,Thiamine is the mainstay of the body's iodine-reactive system.
This creature has no anatomies.,Tom decided it isn't a colugo.,Colugos have no anatomic features at all.
He fed meat to the Jackrabbit.,The jackrabbit doesn't eat at all.,Jackrabbits are omnivores.
Tom perfers beers made with bottom Fermenting yeasts.,He ordered lagers in the bar every time.,Lagers have bottlings.
The species populations in this area changed abnormally over time.,The process of Succession here was worth exploring.,Succession refers to the occurrence of a population change.
Tom has put different kinds of materials in the furnace.,Only beryllium has been left.,Bryllium is one of the rarest of all materials.
The ancients recorded by picture writing.,Pictographs were formed step by step.,Pictographs are the oldest known type of writing.
"My car is exposed to the acid rain,.",The paint on my car is clipped.,Acid rain can be harmful to the skin.
Jane wanted to buy a book full of maps bound together.,She bought some atlases.,Atlas is a type of map.
Mary put the cake into the refrigeratory.,Mary found the cake was rich in moisture the next day.,Cakes have moisture.
The doctor treated little Tom's autism with medication.,"After three months of treatment, his autism has improved significantly.",Autism is a neurological disease characterized by impairment in the ability to control one's own body functions.
There are many trees with different ages.,They have different textures.,Trees vary in their texture.
Surface gauss depends on thickness and size of the magnet.,Gauss strength diminishes the further the distance from the magnetic field.,Magnetism decreases with thickness.
This group of Greys have grown up.,They are large.,Greys have large brains.
The sink has great capacity.,It can hold water up to two liters.,Dwells have capacity.
Jack looks at the shape of the rotifers.,He saw their bilateral symmetry.,Rotifers have bilateral symmetries.
Tom did examinations to see whether he got cancer.,The doctor's diagnosis confirmed his thought.,Examinations confirm the thought of the physician.
Tom believes that dogs and wolves belong to the same phylum.,Tom is wrong.,Phylum is the genus of all living things.
The light was off at 10 pm.,My pupils became bigger suddenly.,Pupils respond to light.
Susan is a midwife.,She was specially trained in childbirth.,Midwifes specialize in the care of infants.
He invited his partners to his residence.,They entered his residence.,Persons enter residences.
"In the humid environment, pecan is easier to grow mold on it.",Pecan should be stored in the relatively dry environment.,Pecans are less susceptible to mold growth in humid environments.
This biologist has problems in other scientific fields to solve.,Another bilogist helps him.,Bilogists help scientists solve problems.
Leaders of pyramid schemes are extremely good at instilling their own perceptions to members.,"As time goes by, their influence on members grows stronger and stronger.",Mulchos encourage members to take action.
Tom was looking for Amphibians in winter.,He could only found some sleeping.,Amphibians inhabit habitats.
The murderer didn't accept himself for a whole life.,He didn't achieve wellness.,Selfishness is defined as the acceptance of oneself as a whole person.
My pet tom is in the mating season.,He eats very little.,Mating occurs during the breeding season.
Tom's family go hiking on the plain.,They find mangroves.,Mangroves are one of the most abundant natural habitats on the planet.
This kind of bear grew in the forest.,This kind of bear habitates in the forest.,Bears live in forests.
Water with minerals flows in the water mains.,On the surface of water mains is some solid stuff.,Mains have mineral deposits.
She was particularly fat.,She had been suffering from diabetes.,Diabetes is the leading cause of death in adults.
It is in the breeding season.,Testicles descend.,Testicles are the offspring of a spermatozoa.
The anaconda saw his food in the forest.,He opened his mouth.,Anacondas have mouths.
The rope connected to my dog was broken.,It ran to other's areas.,Rope connects to areas.
Tom was standing in the river and can't move a step.,His legs are entangled in duckweed.,Duckweed is one of the leading causes of death in the United States.
Tom observed the nucleoli of different kinds of chromosomes under the optical microscope.,Tom observed that most of them contain several associated centromeres.,Centromeres are a group of nucleoli with many associated centromereres.
The research set specific aspartate sites.,Caspases cleave target proteins.,Aspartates cleave site specific asparagine proteins.
We succeed in the end.,Our fate has been changed.,Ends lead to outcomes.
Some plants are infected by a rare kind of virus.,Their cotyledons are destroyed first.,Viruses destroy plants.
They went to catch eels today.,Many were found after seeing a leaking head in crevices.,Eels have leaking heads.
Tom's goats were attacked by vampires.,The goats died of blood shortage.,Vampires are a type of vampire.
This user spent over 8 hours a day at this site.,This user had a high level of stickiness.,Stickiness refers to the amount of time users spend at a site.
Lucy gave me a pen.,I bought ink for the pen.,Pencils are made of ink.
We need a person skilled in all aspects of construction.,A carpenter will be recruited.,Carpenters are skilled builders.
Tom was born and brought up in Indinana.,Tom is American.,Indinana is one of the oldest languages in the world.
Some enzymes are working on the dead body of a bird.,The body decomposes gradually.,Decomposition is the gradual process of the body decomposing slowly.
Many goods have been reduced in price recently.,Deflation makes all kinds of shops miserable.,Deflation is caused by a desire to reduce prices.
Judy suffered from tics.,She had involuntary movements in her body.,Tics are involuntary movement in the body.
Tom wants to have a bath.,Tom filled the bath tub with hot water.,Baths are places of recreation.
This monster killed a boy.,This monster was pleased.,Hate is the act of gratifying a desire.
Hardwoods are deciduous.,They lose their leaves each fall.,Deciduous trees have leaves.
"Knowing that live plants will release oxygen as they grow, a scientist makes experiments to find more information about their process of growth.",The scientist finds that aeration also accurs as they grow.,Aeration is the process of respiration accruing oxygen as it grows.
John only sells amphetamines.,He only looks for people who have failed other weight loss methods.,Amphetamines are the most commonly used weight loss method in the body.
The author used Personification to descibe the inanimate object.,The reader felt  as though it had human capacities.,Personification is a method of describing inanimate objects.
They dissected the human ear to see the structure of cochlea.,They found there were  a basilar turn with a cystic cavity.,Cochleas have basilar turns.
His mother carried the decay-causing bacteria and kissed him.,He was infected.,Debris causes infection.
Oil is lost quickly during drilling.,Workers use acrylamide.,Acrylamides are toxic to marine life.
Several moles were introduced into a piece of farmland where harmful insects thrived.,The insects decreased swiftly in number.,Moles are one of the most destructive insects on the food chain.
Tom's grandmother is a witch.,Many altars have been set up in his courtyard.,Altars are places of worship.
Breast tissue is expected to be activated.,Prolactin is needed.,Activation refers to the activation of breast tissue.
Tom was interested in studying movement.,Tom majored in kinesiology.,Movement is the study of movement.
We came to Pygmy land.,They took us in.,Pygmy is the name given to a group of people who live on pygms.
Tom wanted some lahars.,He went to a volcano and got some accumulations of unconsolidated materials on the flanks.,Lahars have accumulations.
Tom sweats a lot.,The doctor said he was suffering from a skin disease.,Hazards can cause skin diseases.
The seller should avoid nature's way of spoiling things like food.,He found ways to prevent oxidation.,Oxidation is the process of oxidizing a substance.
She is the best receptionist in her company.,She is very good at communicating with others.,Attendants have communication skills.
The man took a photo of the bipe.,His friend saw the two small front limbs on that photo.,Bipe have large front limbs.
He can't see clearly.,There must be something wrong with the nuclei in his brainstem.,Nuclei play a vital role in the development of the nervous system.
Tom has a weak photosensitivity.,He was allergic to the sunshine.,Sunshine can also be harmful to the eyes.
The researcher marked the different allotropes of sulphur.,The researcher found five types of sulphur.,Allotropes range from sulphur to sulphur with sulphur being the most abundant.
Bill put oil on the firewood.,The whole kitchen was burnt down more quickly.,Burns cause a lot of damage.
Lucy has suffered from the gonococcal infection when she was pregnant.,The doctor gave him some medicine containing spectinomycin.,Spectinomycin is a drug used to treat gonorrhea.
"A woman got infectious in her wound, which led to bacteremia.",The doctor used antipyretic to treat her fever.,Antipyretics can reduce the spread of infectious diseases by reducing the amount of antimicrobial agents needed.
Jack put amylase into starch.,The breakdown of starch is accelerated.,Amylase accelerates the process of starch breakdown.
Peter likes to go fishing by the lake in spring.,He often catches walleye.,Walleye are one of the most abundant fish species on the planet.
Tom suffered from the demyelination many years ago.,He recently was diagnosed with the multiple sclerosis.,Multiple sclerosis is a neurological disease characterized by progressive loss of consciousness.
There are different kinds of weather in different places on the earth.,It is much colder along fault lines.,Fault lines have different degrees of precipitation.
Luke's backbones received outside pressure.,His rigid bones bent.,Stiffening bones cause stiffening bones to bend inward.
Gems are precious.,Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom.,Gems have properties.
Jack is a hairdresser.,His hands were corroded by chemical products.,Hairdressers use chemicals.
Tom submitted my ideas as his own.,He was accused of plagarism.,Pagnarism is the inability to produce ideas.
His eyes were lack in light-gathering agents.,He should eat more carrots which is rich in carotenoids.,Carotenes are essential to the body's ability to keep the body from getting too heavy.
Tom was a homosexual.,He also had basic needs to make love as others.,Homosexuals have basic needs.
Hemingway had a rich life experience.,He produced wonderful literature based on his experience.,Liamingways produce excellent literature.
The patient suffers from post-polio syndrome.,The patient is plagued by weakness.,Post-Polio syndrome is a neurological condition characterized by weakness in the central nervous system.
Tom is taking a course in cryobiology.,"When he does experiments, he needs to freeze the biological specimens in advance for observation.",Cryobiology is the scientific study of frozen biological specimens.
This house has some infiltration problem.,Temperature in this house can be very low in winter.,Infiltration is the process of isolating a piece of insulation from the outside.
Emily has many beautiful dolls.,Each of them has a fashion hairstyle.,Dolls have fashion hair.
The physics teacher will explain the nature of current in this lesson.,He talked a lot about current loads.,Currents have properties.
Bob wants to study photosynthesis.,He found many trees with good branches.,Photosynthesis is the process of converting sunlight into energy.
The customer considered geomancy  very important.,The house selling girl emphasized the spiritual ecology of the house.,Geomancy is related to spiritual ecology.
Seals are mammals.,They can live well in winter.,Livestock feed on mammals.
His mother has just gone through menopause.,His mother's bone began to lose rapidly.,Menopause is the most common cause of bone loss in women.
This disease caused degenerative changes of the myocardium in Tom's heart.,The bulk of the heart's mass was negatively affected.,Myocardium is a vital part of the central nervous system.
The Father gave my baby immersion.,My baby was baptized.,Baptism is the baptism of infants into the presence of the Father.
Tom wandered in the early spring.,Tom saw snowdrops.,Snowdrops fall from trees.
I am a citizen with all legal rights.,I have enfranchisement regardless of my nationality.,Immigration is the act of granting citizenship to one's nationality.
I lack vitamin C.,My mom buys oranges for me.,Oats are high in vitamin C but low in vitamin A.
Parakeets were caught by hunters in their natural environment.,Their nomadic lives were broken.,Cakeets live in natural environments.
Mary wants to cook in the kitchen.,Mary find the kitchen in a restaurant.,Cooking is the process of making food.
Lucy works in a courthouse.,She can have a rest after the daytime.,Restrooms are places of relaxation.
Lucy has reached her sexual maturity.,Her menstruation starts.,Moms start at puberty.
Tom saw a typical virago for the first time.,He was shocked.,Viragos are very common in the wild.
The percentage of oxygen is low in water.,Iguanas have difficulty in breathing.,Oxygen levels vary widely throughout the body.
The rain forest abounds with rain.,The vegetation there is exceptionally vigorous.,Rain provides protection.
He took opium.,"His wound no longer hurts, and he fainted after being excited.",Opium causes pain.
Tom cut the head of the perch.,He found its jaw.,Perches have jaws.
Weightlifters train very hard.,Their muscles grow fast.,Trainers use their muscles to grow faster.
The phonetician said the sound has a high frequency.,He used the picture of its dense pulses to prove his opinion.,Phoneticians use pictures to demonstrate the sound's dense pulses.
The frogs have spawned these days.,The pond is teemed with eggs. .,Frogs feed on pond water.
Sally's throat is severely inflamed.,Sally cannot make any sound.,Suffocation is a common symptom of inflamed throats.
This part of zone is comfortable for birds to live.,The birds located this zone as habitat.,Zones have habitats.
John was studying the cellular composition of mammals.,He found a lot of taurine.,Taurine is one of the most abundant amino acids in mammals.
Mother told Kate how the Osprey carried food.,Kate felt surprised and novel.,Ospreys carry food.
The doctor touched the subject's breast.,The subjects' heart rates varied widely.,Heart rate variability is a common cause of variation in heart rate variability.
The country lacks carbohydrates.,They are short of the primary source of fuel.,Carbohydrates are the principal source of energy in the diets of many countries.
Harry keeps pairing two flying pigeons.,The little pigeons that he nurtures can fly faster.,Pigeons are able to fly faster than pigeons because they have the ability to use their wings to propel.
Scientists want to study narwhals in the summer.,Scientists arrived in the ice free coastal areas of the Arctic highlands to investigate.,Narwhals are one of the most abundant marine mammals on the planet.
Tom got infected by something unknown.,He was diagnosed with a kind of syndrome.,Sclerosis is a type of infection caused by an unknown virus.
Alan coated his skin with beeswax.,He tore off the beeswax and successfully depilated.,Beeswax acts as a repellent.
Tom's father is a chef.,He has a recipe of the dishes that he is good at.,Diners have recipes.
The experimenter expected the Paramecium has a special way of consuming food.,He was surprised at their ways similar to multicellular animals.,Paramecium is a multilellular animal.
The kid hoped to stay away from learning.,She didn't cared about her latency.,Latency is a measure of the likelihood of staying away from knowledge.
The chemist is drawing a tree of the platinum group of metals.,He draws ruthenium as one branch of the tree.,Platinum is one of the two platinum groups of metals found in the platinum-group of aluminum.
A few microbes live in this lake.,"Several days later, this lake is filled with microbes.",Microbes populate lakes.
The cattle accidentally ingested nitrate.,The cattle was poisoned.,Nitrates are toxic to cattle.
The wound left during an accident causes great pain for Tom.,He eats some capsaicin and the pain is mitigated.,Capsaicin acts as a laxative to reduce pain.
The chaps ran into problems.,They managed to slove the problems.,Chaps have problems.
The chemistry teacher used some polymers for experiments.,The experiment produced a lot of smoke.,Polymers are very useful in the chemistry classroom.
Tom listened to the advice from his teacher.,He learned about his teacher's experience as well.,Learners have experience.
His father often smokes.,His father was getting weak and suffering from lung cancer.,Cancer is caused by smoking.
Tom was hungry when he got up.,His mother cooked some custards and milk for him.,Custards contain milk.
Lymphocytes around the patient's buttom got disease.,The surrounding vessels were influenced.,Mammalian lymphocytes influence the surrounding vessels.
Linda has suffered from constipation for a week.,She eats some laxatives and her colon expels shit swiftly from the bowel.,Likeness is a common symptom of constipation.
A peccarie was attacked by a snake with venom.,This peccarie was unharmed.,Viscosity is one of the most common causes of death in snakes.
I ran out of ammunition for my crossbow.,My friend found more small bolts for me.,Bolt is a type of small bolt used in crossbows.
Anything containing caustic mixtures of chemicals should not be casually thrown.,Batteries should not be casually thrown.,Curtains are hazardous to human health.
Tom felt so nervous in the running competition.,His leg cramps.,Stimulants can cause a desire to run.
Tom is under the weather.,The doctor prescribed him an emetic.,Emetic is used to treat severe weather conditions.
It is a freshwater lake.,Various species live in this lake.,Lakes have habitats.
Tom is doing his experiment with his classmate.,His classmates were a disservice.,Experiments serve purposes.
The doctor check the CT of my brain.,He found Abscesses.,Abscesses are a common cause of brain damage.
The hobo was extremely hungry.,He wants to eat a pie.,Pies are stuffed animals stuffed with meat.
Those people had been held in confinement for four years.,Cannibalism developed.,Fecal transplants are the most common cause of death in people who are held in solitary confinement.
The swimmer saw shark fins in this water.,He chose to leave here.,Sharks have fins.
It rained for the first time in spring recently.,The roadside is full of wild flowers.,Wildflowers attract wildflowers.
All the animals went to participate in the travel competition.,Albatross won the championship.,Alpacas win championships.
Jack kept a civet.,He thought it was too noisy.,Civets are very sensitive to noise levels.
Mary goes to the optometrist to check her eyes.,The optometrist diagnoses Mary's vision problem.,Optometrists diagnose vision problems.
Jack wanted to know why there were different rates of reaction.,Finally he found out by looking at books that enantiomers can exhibit diffrent chemical properties.,Diffrent is a term used to describe the chemical properties of different types of substances.
He was of great passion.,His partners were inspired by him.,Passion is the ability to inspire others.
He keeps many gnus.,The gnus have eaten up the grass on his lawn.,Gnuses eat grass.
The virus inside the nerve cell can be reactivated.,Some patients worry about recurrences after their recovery.,Recurrence is a common side effect of viral infection.
Tom's heart beat so slowly.,The doctor insert a pacemaker for him.,Pancreaters are devices used to keep the heart beating at a steady rate.
The country regained the sovereignty.,The country would not be controlled by others any more in a violent way.,Rulers have sovereign rights.
The electronegative atom meet the hydrogen H.,H was attached to the former by a covalent bond.,Covalent bonds are used to bond electronegas to hydrogen.
Tom's brain was stimulated a lot.,Tom had an epileptic seizure on the street.,Epilepsy is caused by stimulation of the brain.
A man who knows pyromancy looks at the burning fire.,He got Tom's fortune for the next week.,Pryromancy is the study of the burning flames.
Pregnant woman Alice decides to take more folic acid.,She often eats hazelnuts among nuts.,Folic acid is one of the most common substances found in nuts.
This kind of young animal grow rapidly.,This kind of young animal is likely to suffer from  scurvy.,Scurvy is one of the leading causes of premature death in young animals.
Mother asks Tom to play the violin in front of relatives.,Tom plucks the strings all the time.,Strings are made of string.
They eat anything like plants.,Algas became their food.,Algas are the most abundant of all plants.
Tom had glibenclamide after drinking.,Tom wanted to throw up.,Glyphosate is one of the most widely used herbicides in the United States today.
Atmosphere of the two regions are totally different.,The surfaces of rocky bodies in the two regions are different.,Places have atmospheres.
This disaster became a hot topic.,The journalist covered it immediately.,Journalists write about disasters.
Fiberglass insulation keeps you warm and reduces noise.,This kind of wall attracts many wall makers.,Wall makers use fiberglass insulation.
Tom has put a bottle of water in the refrigerator.,He got a bottle of ice.,Ice contains water.
There is a phenomenon of liver and bile recycling in his body.,The doctor advised him to eat more fiber food.,Fiber has many health benefits.
They got a meadowlark.,They collected its feathers.,Meadowslarks have feathers.
Families living throughout temperate Eurasia like eating freshwater fish.,Tench are common food for them.,Tench feed on freshwater fish such as freshwater fish like freshwater fish eat freshwater fish live in temperate environments like.
The cells of milk have some changes.,The milk goes bad.,Cellulosity is a measure of cell damage.
Jane doesn't want to gain any weight.,She wants to be like birds.,Birds are omnivores.
This enzyme facilitated the breakdown of glucose.,It has the function of Glycolysis.,Glucose is one of the most abundant carbohydrates in the body.
The tips of the chromosome shortens each time the cell divides.,The telomeres shorten as the cell divides.,Telomeres are a measure of the length of the chromosomes.
Tom put a magnet in pins while he was cleaning the table.,Almost all the pins are held together by magnets.,Magnetism is a common cause of wear on metal surfaces.
Tom has studied about polypeptides.,He has separated many amino acids.,Polypeptide is one of the most abundant amino acids in the human body.
The minister appointed a representative for him to attend the meeting.,The representatives must be careful with his words since he should be responsible to his minister.,Representatives have responsibility.
Einstein's father was detected with retinoblastoma.,The doctor told him not to worry. There was basically no pathological change.,Rettoblastomas are very difficult to diagnose due to a lack of diagnostic capability.
Tom looked at how does leadership get the achievement of results.,At last he learned it was through people.,Leadership is the process of getting results.
Tom has eaten a lot of grapefruit.,His high blood pressure was cured without the help of drugs.,Grapefruit is one of the most common drugs used in the treatment of hypertension.
This river is of high field.,The load divided by its drainage area is large.,Dams carry loads.
Mary was a singer.,She became a background singer in the chorus.,Songs have backgrounds.
Whiskers are closely connected to the nervous system.,They are sensitive.,Knowledge leads to insight.
Tom rubbed two small pills together into one big pill.,The phenomenon of accretion happened.,Accretion is the gradual accumulation of a substance from one substance to another.
Tom's heart is beating abnormally.,The doctor measured his electrocardiogram.,Electrocardiograms are the most accurate way to diagnose heart problems.
Jane exposed her clothes to the sun.,The colour has faded.,Sunlight is a natural colouring of clothing.
Scientists have discovered a polymer of sugar.,Scientists say it is oligosaccharide.,Oligosacscharide is one of the most abundant polymer found in nature.
The beagles were hungry.,They found many food.,Beagles eat prey.
The hard-working staff got stocks of his company.,He had securities representing ownership shares of his company.,Securities represent ownership shares.
Audrey and her friends take part in group trips.,At night they set up tents to sleep.,Tents are places to stay during the day.
Every human is a life.,Everyone can be susceptible to other people or things.,Immunity is the ability to adapt to change.
Usually girls showed better attitude than boys in learning English.,Those girl got higher ability in using English.,Empathy is the ability to use language.
