The two competitors became friends of reciprocity. They often exchange their own privileges.,Reciprocity is a mutual exchange of privileges.,"

Reciprocity is the reciprocal act of sharing a share of goods."
Mary read some papers. She knew lots of details.,Paper gives details.,"

""I have a lot of things to cover,"" she said."
Sam wished to eat stew for supper. Sam's wife went to buy some meat.,Stew makes with meat.,"

Meat is a good source of protein."
It's half way through autumn. It rains more in half autumn than in spring and summer combined.,Autumn is the season when rain is likely to fall.,"

Summer is the time of year when the sun shines."
The major planets interact. There is gravity among the planets.,Gravitation involves interaction.,"

Gravity is one of the fundamental principles of the solar system."
Tom has a civet. The civet eats the fish quickly.,Civets have sharp teeth., Civets eat small fish.
Alice likes the smell of milk. She always eats cakes with a lot of cream.,Cream has taste.,Cakes are made from milk.
Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy. He looked it up and found out that it was because they were so bright.,Quasars drown out the light from all the other stars in the same galaxy because they are so bright.,"

Quasars are one of the most common stars in our galaxy."
Simon's mother often let Simon eat soys. Simon grows healthy.,Soy offers health benefits., Simon is a healthy child.
A factory produces several tons of tissues from straws. The quality of these tissues is different.,Straw is a nonhomogeneous material.,Steroids can be produced by the use of straws as a source of tissue.
Jack added nitrites into the water. The catfish died earlier than the scalefish in the water.,Nitrites are more toxic to catfish than scalefish.,"

Nitrites have a long shelf life."
His action led to the movement of the wheels. The machine was set in motion.,Movement results in motion.,"

Machines have wheels."
Jack's interest is to study human species. He decides to choose anthropology as his major in college.,Anthropology is the discipline devoted to the study of the human species., Anthropology is the study of human beings.
Father of our religion combined a union of opposite tenets. His action of syncretism was praised.,Syncretism is the attempted union of opposite tenets is the current fashion in religion.,"

Synchronicity is the separation of beliefs from one another."
Various features show that this is a dicot in the family Piperaceae. Researchers suspected it is a peperomia.,Peperomia is a dicot in the family Piperaceae.,Piperomia is a common name in the genus Piperaceae but is also found in other species.
Tom has measured the magnetism of the material. It is 15 gammas.,Magnetometers measure magnetism in units called gammas.,"

Magnetism is a measure of the magnetic field of a material."
Tom studied the types of polypropylene. He found that they came in two types.,Polypropylene comes in two types., Polypropylene is a type of polyethylene.
The source of the mud was investigated. It was reported that the soil source was very rich.,Mud comes from rich environments., The source of mud is very difficult to determine.
The student feel anxious to take the exam. Her teacher gave her a warm smile.,Laughter increases relaxation when under stress.,"

""I have no problem taking the exam,"" she said."
This charity donates money to Asian areas with famine. Some people western india were helped.,Famine occurs in western india.,"

Indonesia is one of the most vulnerable countries in the world to famine."
The state began to crack down on competitive economic activities in an all-round way. The state has launched a policy of collusion.,Collusion is the antithesis of competitive economic activity., Competition is the process by which the state tries to reduce the cost of goods and services.
Tom improved his learning efficiency today. He finished all his homework ahead of schedule.,Efficiency is the process of maximizing the productivity of inputs.,"

""I have a lot of experience in the classroom,"" he said."
Tom wants to eat watermelon. Tom cut the rind of the watermelon.,Melons have rinds.,Rinds are a common part of the diet of many people.
Tom give the circuit voltage. Tom has observed charge movement.,Voltage is the potential to move., Voltage is the amount of current flowing through a circuit.
This child caught roseola. The child had a fever which followed by a rash.,Roseola is a very common viral illness characterized by fever followed by a rash., Roseola can be fatal.
A species gradually adapted to its environment. This phenomenon is called speciation.,Speciation is often the result of environmental adaptation.,Speciation occurs when a species adapts to the environment.
Tom was studying how body temperature rises. He found out that cytokines worked in it.,Cytokines cause the body s temperature to elevate by resetting the brain s thermostat., Tumor cells are the most active of all cytokines.
Now it's time to remove the drugs from the patient's body. Various elimination processes was adopted to achieve that.,Drugs are removed from the body by various elimination processes., Elimination is the process by which a drug is removed from the body.
He successfully solved the problem. He has a clear understanding of this problem.,Problem solving is central to cognition.,"

Consequences

Concerns arise when dealing with problems."
The villagers were happy about the harvest. They had enough food this year.,Harvest can mean harvesting of the food.,"

""We have a lot of vegetables."
The lecturer is talking about t lymphocytes. I can hear t-cells sometimes.,T lymphocytes are also called t-cells., T-cells are part of the body's immune system.
The scientist put some pyridine in the water. He found the pyridine disappeared.,Pyridine is very soluble in water.,"

Pyridine is a chemical used as a disinfectant."
Amy served as an assistant in this company. Amy is good at services work.,Assistants specialize in services., Amy has excellent communication skills.
Virus attacked the mosquitoes. Human might get infected owing to sick mosquitoes.,Mosquitoes get sick just like human beings do.,Antibiotics can help prevent infection.
Henry always runs into hindrances in doing business. It is difficult for him to get mind equilibrium now.,Hindrances influence equilibrium., He has the ability to make decisions.
The school will hold a ceremony the day after tomorrow. The school will hold a simulation in advance tomorrow.,Simulation includes examples.,Simulation is the process of taking a group of students from one school to another.
Tom has taken use of two pieces of magnets to make his experiment. He has proved something about the attraction.,Ferromagnetism describes strong attraction to magnetic fields.,Magnetism is a type of magnetic field.
The small chicken shoud be incubated under the same temperature. Tom takes use of a thermostat.,Thermostats detect temperature.,Thermostats are used to control the temperature of the chicken.
She is allergic to yeast. She cannot have contact with dough.,Dough contains yeast.,"

Beverages contain yeast."
The workers have no idea about how to operate the computer. The leader taught them in person.,Leaders display technical knowledge.,"

""Communication is one of the most basic skills of a human being."
The patient with fibroadenomas read his report of mammography. He was in relief for its benign appearance.,Fibroadenomas have a benign appearance on mammography.,Mammography is an invasive procedure used to diagnose cancer.
The children will be shipped off to a boarding school. Their parents taught their children how to solve living problems independently before going to school.,Independence is an emotion to be encouraged during the early preschool years.,"

Parents also teach children the skills needed to solve problems."
He went to school. He learned a lot.,Schools are places of learning., He has a lot of experience.
The workers are in charge of cleaning debris. They have to consider the waste.,Debris includes waste.,"

""Cleanup is a critical part of the job."
He asked the cardiologist to watch the condition of the heart. The doctor said that his heart rhythm is uneven.,Cardiologists can watch the heart pumping., Cardiac arrhythmias can cause irregular heart rhythms.
Enzymes are necessary for children's growth. Children are encouraged to eat sprouts.,Sprouts are in fact one of the richest sources of enzymes., Sprouts contain enzymes.
The house of the people holds justice. Parliament is a place of justice.,Parliament is the house of the people.,"

Parliament is the place where people have their say."
The man devoted himself to journalism. He mastered the popular language used in pursuit of truth.,Journalism is the popular language used in pursuit of truth., Journalism is a profession.
Tom found a small dome-shaped beetle. He said he got a ladybug.,Ladybugs are small dome-shaped beetles.,"

""Ladybugs are very common in the United States."
The primates didn't want to be exhibit animals. They escaped from the zoo.,Zoos collect primates as exhibit animals.,"

Pimps have a long history of escaping from their zookeepers."
"The root of the plant rotted. In order to save the plant, Tom gave it a rhizoid.",Rhizoids function as roots.,Rhinoids are a type of plant known as rhizoids.
Tom was a shepherd. He took care of a flock of sheep.,Shepherds keep sheep., Sheep feed on milk.
Tom feels that his asthma is about to attack. He eats some singulars.,Singular is a drug used to prevent the acute attacks of asthma.," ""I eat vegetables,"" he says."
The teacher gives an example to illustrate the grammar point. But the students can't understand the example.,Examples have limitations.,"

Languages have grammar points."
Nobody has seen edaphosauruses before. The scientist observed its appearance.,Edaphosauruses have appearances.,Edaphosasaurids have a long history of evolution.
All relatives entered the family room. They sat on the chairs one by one.,Chairs sit in family rooms.,"

""Aunts and uncles have to sit on the other side of the table."
"There are many people, among which part of them are with normal sight and part of them are blind. Normal people can see everything and blind people are in a dark world without any light.",Blindness is viewed in almost the opposite light.,"

Blindness is the inability to see things."
The wine must be kept from becoming flabby. Acidity should be used.,Acidity is used to keep the wine from becoming flabby.,"

Acidity is the amount of water in a glass of wine."
Tom ran into an anemone. He was poisoned.,Anemones release toxins.,"

Diseases are caused by the body's own immune system."
The company keeps the steel in a wet warehouse. The company loses one million due to rust after a few months.,Moisture is the main cause of rust.,"

Steel is used in cars, trucks and other vehicles."
Mary ate lots of chocolate. She also intook theobromine.,Chocolate contains an ingredient called theobromine.,Antidepressants are used to treat depression.
Tracheilds are not suitable to be used as fire materials. Farmers do not use softwoods as firewoods.,Softwoods contain only tracheids.,Softwoods are the most common type of wood used for firewood.
The field was very quiet at night. The silence was broken by several bird calls.,Blackbirds break up the quiet by cawing while soaring overhead.,"

In the early hours of the morning, a small group of birds flew over the field."
The possum has eaten an ill bird. It died.,Possums acquire the disease by eating infected birds.,"

Possums eat ill birds."
He served as an accountant in this company. He worked hard to manage the balance.,Accountants desire balance., He is a very good person.
Lyle has ophthalmologist. Lyle's doctor treated him with a laser.,Ophthalmologists commonly treat proliferative retinopathy with laser therapy., Laser therapy is used to treat ophthalmia.
This experiment requires a gray-white solid with a shiny surface. The teacher provided tellurium.,Tellurium is a grayish-white solid with a shiny surface., Tellurium is a chemical used to make bright light.
Their new baby born yesterday. This new life starts to cry.,Lives start with breathes.,"

Crying is part of the human experience."
The vocal folds vibrated. Compression sound waves were produced.,Vibration creates compression waves.,"

Vibrations in the vocal folds are caused by a number of different mechanisms."
Jack's hemoglobin levels are low. He has been dizzy lately.,Hemoglobins have mass.,"

Dizziness is a common symptom of diabetes mellitus."
Jerry was baptized. He was identified by the believers.,Baptism is an identification with the community of believers.,"

Baptism is a rite of passage."
"Emma, who is a regular coffee drinker, is very hyper these days. The doctor diagnosed him as caffeinism.",Caffeinism is a stimulated condition of chronic poisoning due to over-indulgence of caffeine.,Caffeine is the most common cause of hypercaffeination.
Tom eats some health products containing enzymes every day. He defecates on time every day.,Metabolism takes place by enzymatic catalysis.,Dietary enzymes contain enzymes.
The angry patient was injected depressants. He felt calm and relaxed.,Depressants produce relaxed calm feelings.,"

Depressants have a calming effect on the brain."
The victims were taken to the police office to identify the crimnimal. They tried to recall the face of the criminal.,Criminals have faces., Crimnimals use facial recognition to identify faces.
Lucy has bought a llot of fresh fruit. She has made a glass of smoothy.,Smoothies are made of fresh fruit., Lily is the only one of her kind who can drink smoothies.
He just took the pills. He wants to sleep very much now.,Pills cause a desire to sleep.,"

""I can't sleep at night."
My mother stewed a mahimachi for me at noon. I've been picking fish bones for a long time.,A mahimahi is a bony fish., Mahimachi is one of my favorite foods.
They are botanists. They collect specimens everyday.,Botanists collect specimens.,Botanists specialize in collecting specimens.
The old man wants to catch some sunfish. He caught a bluegill.,Bluegills are a member of the sunfish family.,Bluegills are one of the most common species of fish in the United States.
This mobile phone is not durable. The battery often fails to charge.,Phones have cell batteries.,"

Battery life depends on the amount of time it takes to charge a phone."
Tom was finding the fly in his house at night. He failed.,Flies are also interesting because they are only active during the day.,"

He said he found it in the trunk of a car."
The baby ground squirrels were hidden by their mom. They were not found by the rattlesnakes.,Rattlesnakes love baby ground squirrels.,Rattlesnake burrows have burrows.
Tom committed incest and rape. He was sentenced to death.,Incest is a serious offence under the criminal code.,"

He is one of the most powerful men in the United States."
Gongress passed some proposals. Small buiness benefited from these proposals.,Proposals help small business.,"

Budgets are a measure of the cost of a project."
Tom's taste buds on his tongue all lost their function. Tom couldn't be able to know the taste of whatever he eats.,Taste is sensed by taste buds on the surface of the tongue.,"

Tom's tongue is one of the most sensitive parts of his body."
He mistook lots of thiocyanate. His thyroid can't uptake iodine normally.,Thiocyanate interferes with iodine uptake by the thyroid.,"Thiocycyanate is the same as iodine in the body, but it's much less effective."
This creature has no anatomies. Tom decided it isn't a colugo.,Colugos have anatomies.,Colugos are very common in the Philippines.
He fed meat to the Jackrabbit. The jackrabbit doesn't eat at all.,Jackrabbits are strict vegetarians.,Jackrabbits feed on meat.
Tom perfers beers made with bottom Fermenting yeasts. He ordered lagers in the bar every time.,Lagers are generally beers made with bottom Fermenting yeasts.,Lagers are made with top fermenting yeast.
The species populations in this area changed abnormally over time. The process of Succession here was worth exploring.,Succession is the process of the species populations in an area changing over time.,"

Succession occurs when a species is able to adapt to a new environment."
Tom has put different kinds of materials in the furnace. Only beryllium has been left.,Beryllium is the only stable light metal with a relatively high melting point.,Bryllium is the most common type of metal used in furnaces.
The ancients recorded by picture writing. Pictographs were formed step by step.,Pictographs are picture writing., Picture writing is the process of creating a picture.
"My car is exposed to the acid rain,. The paint on my car is clipped.",Acid rain could effect a car's color.,Paint is applied to the car.
Jane wanted to buy a book full of maps bound together. She bought some atlases.,Atlases are maps bound together as books., Maps are the most common type of map.
Mary put the cake into the refrigeratory. Mary found the cake was rich in moisture the next day.,Refrigeration causes excess moisture.,"

Cakes are rich in vitamin C."
"The doctor treated little Tom's autism with medication. After three months of treatment, his autism has improved significantly.",Medications play a role in treating an individual with autism.,"

Autism is the most common cause of disability in children."
There are many trees with different ages. They have different textures.,Texture reflects differences., Trees have different sizes.
Surface gauss depends on thickness and size of the magnet. Gauss strength diminishes the further the distance from the magnetic field.,Gauss refers to the designated strength of a magnetic field of energy.,Magnetism is a measure of the distance between two points.
This group of Greys have grown up. They are large.,Greys grow to a large size., Greys are very small.
The sink has great capacity. It can hold water up to two liters.,Capacity is measured in liters., The sink is designed to hold up to four liters of water at a time.
Jack looks at the shape of the rotifers. He saw their bilateral symmetry.,Rotifers have bilateral symmetry., Rotifers have a symmetrical shape.
Tom did examinations to see whether he got cancer. The doctor's diagnosis confirmed his thought.,Examinations confirm diagnoses.,"

Cancer is the most common cause of death in the United States."
Tom believes that dogs and wolves belong to the same phylum. Tom is wrong.,Phyla consist of simple multicellular animals.,Phylum is the group of phylum known as the phylum family.
The light was off at 10 pm. My pupils became bigger suddenly.,Pupils change size., I couldn't see the light.
Susan is a midwife. She was specially trained in childbirth.,Midwives are women with specific training in childbirth.,"

Pregnancy is the most common cause of death in the United States."
He invited his partners to his residence. They entered his residence.,Partners enter residences.,"

On the night of the attack, a man wearing a black hooded sweatshirt was seen in the."
"In the humid environment, pecan is easier to grow mold on it. Pecan should be stored in the relatively dry environment.",Pecans are also prone to infection by fungi especially in humid conditions.,Pecans are also less susceptible to mold growth.
This biologist has problems in other scientific fields to solve. Another bilogist helps him.,Biologists include other scientists., Bilogist is a type of naturalist.
"Leaders of pyramid schemes are extremely good at instilling their own perceptions to members. As time goes by, their influence on members grows stronger and stronger.",Influence is the ability to shape perceptions in people's heads.,Mulchings are a type of pyramid scheme designed to encourage members to believe they have control over their own.
Tom was looking for Amphibians in winter. He could only found some sleeping.,Amphibians hibernate during winter.,"

Mammals are solitary animals."
The murderer didn't accept himself for a whole life. He didn't achieve wellness.,Wellness is acceptance of oneself., He just wanted to live.
My pet tom is in the mating season. He eats very little.,Toms eat very little during mating season., Pet tom is a very rare breed.
Tom's family go hiking on the plain. They find mangroves.,Mangroves grow on flat terrains., Mangroves are a natural part of nature.
This kind of bear grew in the forest. This kind of bear habitates in the forest.,Growth affects bear habitats.,"

Bear bears have a habitation in the forests."
Water with minerals flows in the water mains. On the surface of water mains is some solid stuff.,Sediment is the result of an accumulation of minerals in the water mains., Minerals are a good source of water.
She was particularly fat. She had been suffering from diabetes.,Diabetes is caused by obesity., Diabetes is a chronic disease of the pancreas.
It is in the breeding season. Testicles descend.,Testicles descend during breeding season.,Pregnant women have testicles.
The anaconda saw his food in the forest. He opened his mouth.,Anacondas swallow their prey whole starting with the head.,"

""I have no food."
The rope connected to my dog was broken. It ran to other's areas.,Dogs invade areas., I have dogs with broken ropes.
Tom was standing in the river and can't move a step. His legs are entangled in duckweed.,Duckweeds grow in water.,"

Duckweed is one of the most poisonous plants on the planet."
Tom observed the nucleoli of different kinds of chromosomes under the optical microscope. Tom observed that most of them contain several associated centromeres.,Nucleoli contain at least one usually several associated centromeres., Centromeres are the number of centromes in a chromosome.
The research set specific aspartate sites. Caspases cleave target proteins.,Caspases cleave target proteins at specific aspartate sites.,Caspases also cleave protein targets.
We succeed in the end. Our fate has been changed.,Fate depends on success.,"

Diversity is a key part of our success."
Some plants are infected by a rare kind of virus. Their cotyledons are destroyed first.,Cotyledons are the site of primary infection.,Cots are the only plants to survive in the wild.
They went to catch eels today. Many were found after seeing a leaking head in crevices.,Eels tend to hide in crevices during the day with only their head visible.,Eels have small heads.
Tom's goats were attacked by vampires. The goats died of blood shortage.,Vampires can drink blood.,"

Vampires have the ability to cause blood loss."
This user spent over 8 hours a day at this site. This user had a high level of stickiness.,Stickiness is a measure of the amount of time a user spends at a site., Stickiness is a measure of the amount of time it takes to complete a task.
Lucy gave me a pen. I bought ink for the pen.,Pens use ink.,"

Pencils cost money."
We need a person skilled in all aspects of construction. A carpenter will be recruited.,Carpenters are field personnel skilled in all aspects of construction., Construction is the art of making things.
Tom was born and brought up in Indinana. Tom is American.,Indiana is part of America., He grew up in the United States.
Some enzymes are working on the dead body of a bird. The body decomposes gradually.,Decomposition is the process of enzymes digesting food.,Dehydration is one of the most common causes of death in birds.
Many goods have been reduced in price recently. Deflation makes all kinds of shops miserable.,Deflation is a decrease in the general level of prices as measured by some price index.,"

Deflation is the process by which goods are produced."
Judy suffered from tics. She had involuntary movements in her body.,Tics are involuntary movements in the body.,Tics are involuntary movements caused by the presence of a substance.
Tom wants to have a bath. Tom filled the bath tub with hot water.,Baths are made of warm water., Tom then fills the bathtub with warm water.
This monster killed a boy. This monster was pleased.,Killing causes pleasure.,"

""I want to kill you,"" the boy said."
Hardwoods are deciduous. They lose their leaves each fall.,Hardwoods are deciduous meaning they lose their leaves each fall., Deciduous trees have leaves.
"Knowing that live plants will release oxygen as they grow, a scientist makes experiments to find more information about their process of growth. The scientist finds that aeration also accurs as they grow.",Aeration also occurs when live plants release oxygen as they grow., Aeration increases the amount of oxygen in the air.
John only sells amphetamines. He only looks for people who have failed other weight loss methods.,Amphetamines are only to be used by people who have failed other weight loss methods., Amphetamines are the most common method of weight loss.
The author used Personification to descibe the inanimate object. The reader felt  as though it had human capacities.,Personification is the description of an inanimate object as though it had human capacities., Personification is a method of describing inanimate objects.
They dissected the human ear to see the structure of cochlea. They found there were  a basilar turn with a cystic cavity.,Cochlea consists of a basilar turn with a cystic cavity.,Cochleas are very common in mammals.
His mother carried the decay-causing bacteria and kissed him. He was infected.,Parents can spread decay-causing bacteria to their children in their saliva.,"

Bacteria cause infections."
Oil is lost quickly during drilling. Workers use acrylamide.,Acrylamides find use in oil-drilling processes to control fluid losses.,Acrylamides are used to reduce the amount of carbon dioxide in the atmosphere.
Several moles were introduced into a piece of farmland where harmful insects thrived. The insects decreased swiftly in number.,Moles help control populations of harmful insects.,Moles also feed on grasshoppers.
Tom's grandmother is a witch. Many altars have been set up in his courtyard.,Altars are a witches' way of focusing their thoughts similar to prayer., Altars are places of worship.
Breast tissue is expected to be activated. Prolactin is needed.,Prolactin activates breast tissue., Prolaglandins are used to stimulate the secretion of progesterone.
Tom was interested in studying movement. Tom majored in kinesiology.,Kinesiology refers to the study of movement.,Kinesiology is the study of movement.
We came to Pygmy land. They took us in.,Pygmies share habitats., I was one of the first people to see the pygmy.
Tom wanted some lahars. He went to a volcano and got some accumulations of unconsolidated materials on the flanks.,Lahars are accumulations of unconsolidated materials on the flanks of volcanoes.,Lahars are large cylindrical structures made up of two or three layers of material.
Tom sweats a lot. The doctor said he was suffering from a skin disease.,Tinea occurs in people who perspire a lot., He has a scar on his right arm.
The seller should avoid nature's way of spoiling things like food. He found ways to prevent oxidation.,Oxidation is nature's way of spoiling things like food.,"

Oxidation is the process by which a substance reacts with other substances."
She is the best receptionist in her company. She is very good at communicating with others.,Receptionists should have communication skills., She has a great sense of humor.
The man took a photo of the bipe. His friend saw the two small front limbs on that photo.,Bipes has two small front limbs.,"

""I thought it was a joke,"" he said."
He can't see clearly. There must be something wrong with the nuclei in his brainstem.,Vision is controlled by groups of cells called nuclei in the brainstem., He can only see the nucleus.
Tom has a weak photosensitivity. He was allergic to the sunshine.,Photosensitivity is a common reaction to the sun.,Sunshine is a natural irritant to the skin.
The researcher marked the different allotropes of sulphur. The researcher found five types of sulphur.,Sulphur can exist as five different allotropes., Sulphur is the most common allotropic of sulphurs.
Bill put oil on the firewood. The whole kitchen was burnt down more quickly.,Fuel leads to rapid combustion.,"

""We have to make sure we have firewood at all times,"" he said."
Lucy has suffered from the gonococcal infection when she was pregnant. The doctor gave him some medicine containing spectinomycin.,Spectinomycin is used to treat certain gonococcal infections during pregnancy.,"

Gonococcal infections are caused by the bacterium gonorrhoeae."
"A woman got infectious in her wound, which led to bacteremia. The doctor used antipyretic to treat her fever.",Bacteremia causes a fever but no other specific symptoms.,Antipyretics are prescribed to prevent the spread of infection.
Jack put amylase into starch. The breakdown of starch is accelerated.,Amylase catalyses the breakdown of starch., Amylase is the process by which starch breaks down into amylases.
Peter likes to go fishing by the lake in spring. He often catches walleye.,Walleye move in from miles away in early spring to lay their eggs.,"

Walleye are small fish with large heads."
Tom suffered from the demyelination many years ago. He recently was diagnosed with the multiple sclerosis.,Demyelination leads to progressive dysfunction such as seen in multiple sclerosis.,"

Dementia is a neurological disease characterized by loss of consciousness."
There are different kinds of weather in different places on the earth. It is much colder along fault lines.,Colds happen in the winter earthquakes along fault lines hurricaines in the ocean.,"

Fault lines are very cold along faults."
Luke's backbones received outside pressure. His rigid bones bent.,Bones are rigid but they do bend when outside pressure is applied.,"

In the early years of his life, he suffered from a spinal injury."
Gems are precious. Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom.,Gems are the flowers of the mineral kingdom.,Celts are also precious.
Jack is a hairdresser. His hands were corroded by chemical products.,Hairdressers use chemical products.,"

Hairdressers use chemicals."
Tom submitted my ideas as his own. He was accused of plagarism.,Plagiarism is the act of submitting another person's ideas as one's own.,Pagarism is a mental illness caused by the loss of control over one's body.
His eyes were lack in light-gathering agents. He should eat more carrots which is rich in carotenoids.,Carotenoids are light-gathering agents in the pigments of eyes., Carotenoid is a protein found in many vegetables.
Tom was a homosexual. He also had basic needs to make love as others.,Homosexuals are human beings with the same basic needs as all human beings.,"

""Love is the most basic of human needs,"" he said."
Hemingway had a rich life experience. He produced wonderful literature based on his experience.,Literature is the creative expression of human experience.,"

Biology is the study of the physical body."
The patient suffers from post-polio syndrome. The patient is plagued by weakness.,Weakness is the general symptom of post-polio syndrome., Post-Polio syndrome is a condition in which the body is unable to heal itself due to a lack of.
"Tom is taking a course in cryobiology. When he does experiments, he needs to freeze the biological specimens in advance for observation.",Cryobiology is the science of preserving biological specimens at low temperatures., Cryobiology is the study of biological processes.
This house has some infiltration problem. Temperature in this house can be very low in winter.,Infiltration refers to the leakage of undesired air into the home., It is a good idea to stay warm during the winter months.
Emily has many beautiful dolls. Each of them has a fashion hairstyle.,Dolls have heads., Dolls have hair.
The physics teacher will explain the nature of current in this lesson. He talked a lot about current loads.,Current has load., Current is the amount of energy in a system.
Bob wants to study photosynthesis. He found many trees with good branches.,Branches dedicate to photosynthesis., But he also found some with bad branches.
The customer considered geomancy  very important. The house selling girl emphasized the spiritual ecology of the house.,Geomancy is spiritual ecology., Geomancy is the study of the physical environment.
Seals are mammals. They can live well in winter.,Seals are protected from the cold by a thick layer of blubber combined with a thick fur coat., Mammals have a wide range of habitats.
His mother has just gone through menopause. His mother's bone began to lose rapidly.,Women lose bone rapidly after menopause.,"

Pregnancy is the most common cause of bone loss in women."
This disease caused degenerative changes of the myocardium in Tom's heart. The bulk of the heart's mass was negatively affected.,Myocardium constitutes the bulk of the heart's mass., Cardiomyopathy is a common cause of death in the elderly.
The Father gave my baby immersion. My baby was baptized.,Immersion is baptism., I am the father of my baby.
Tom wandered in the early spring. Tom saw snowdrops.,Snowdrops are the early spring flowering bulbs., Tom had no idea what he was seeing.
I am a citizen with all legal rights. I have enfranchisement regardless of my nationality.,Enfranchisement is a right to be decided independently from nationality., Citizenship is a matter of citizenship.
I lack vitamin C. My mom buys oranges for me.,Oranges have a high vitamin c content., I have little to no vitamin C in my body.
Parakeets were caught by hunters in their natural environment. Their nomadic lives were broken.,Parakeets lead nomadic lives in their natural environment.,"

Mammals live in the wild."
Mary wants to cook in the kitchen. Mary find the kitchen in a restaurant.,Kitchens appear in restaurants.,"

""Cooking is one of the most important aspects of life,"" she says."
Lucy works in a courthouse. She can have a rest after the daytime.,Courthouses are daytime buildings.,"

""I have a lot of time to spend with my family,"" she said."
Lucy has reached her sexual maturity. Her menstruation starts.,Menstruation starts when a female has reached sexual maturity.,Pregnancy is the most common cause of infertility in women.
Tom saw a typical virago for the first time. He was shocked.,Viragos have shocks.,"

""Virago is very common in the wild,"" he says."
The percentage of oxygen is low in water. Iguanas have difficulty in breathing.,Iguanas hold underwater breaths., Oxygen is the main cause of death.
The rain forest abounds with rain. The vegetation there is exceptionally vigorous.,Rain produces vegetation growth., Rainfall is a natural response to changes in rainfall patterns.
"He took opium. His wound no longer hurts, and he fainted after being excited.",Opium primarily relieves pain raises the spirits then stupefies.,"

Psilocybin is a hallucinogenic drug."
Tom cut the head of the perch. He found its jaw.,Perches have jaws., The perch is a small animal with a long neck.
Weightlifters train very hard. Their muscles grow fast.,Weightlifters eat enough carbohydrates., They use a variety of techniques to increase their muscle strength.
The phonetician said the sound has a high frequency. He used the picture of its dense pulses to prove his opinion.,Pulses offer evidence.,"

Phoneticians use pictures to prove their opinions."
The frogs have spawned these days. The pond is teemed with eggs. .,Frogs start their lives in eggs in ponds., .
Sally's throat is severely inflamed. Sally cannot make any sound.,Larynxes generate sound., Her voice is muffled.
This part of zone is comfortable for birds to live. The birds located this zone as habitat.,Zones provide habitats., Zone is a natural environment.
John was studying the cellular composition of mammals. He found a lot of taurine.,Taurine is found in high concentrations in mammalian cells.,Taurine is a common amino acid found in mammals.
Mother told Kate how the Osprey carried food. Kate felt surprised and novel.,Osprey have a unique way of carrying their food.,"

Ospreys eat animals."
The doctor touched the subject's breast. The subjects' heart rates varied widely.,Breasts are sensitive to touch as they have many nerve endings., Heart rate variability is a measure of heart rate variability.
