The woman gave birth to a child. The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,Psycho-psychological phenomena are the physical manifestations of the human mind.
Lyle has ophthalmologist. Lyle's doctor treated him with a laser.,Ophthalmologists commonly treat proliferative retinopathy with laser therapy.,Lasers are a type of laser used in the treatment of certain types of eye diseases.
This experiment requires a gray-white solid with a shiny surface. The teacher provided tellurium.,Tellurium is a grayish-white solid with a shiny surface.,Tellurium is a silvery-white liquid with a glossy surface.
Their new baby born yesterday. This new life starts to cry.,Lives start with breathes.,Crying occurs when the baby is in a state of hypothermia.
The vocal folds vibrated. Compression sound waves were produced.,Vibration creates compression waves.,Vibrations are produced when a vocal fold vibrates.
Jack's hemoglobin levels are low. He has been dizzy lately.,Hemoglobins have mass.,Dizziness is caused by a lack of oxygen in the blood.
Jerry was baptized. He was identified by the believers.,Baptism is an identification with the community of believers.,Baptism is the identification of one's faith with another.
"Emma, who is a regular coffee drinker, is very hyper these days. The doctor diagnosed him as caffeinism.",Caffeinism is a stimulated condition of chronic poisoning due to over-indulgence of caffeine.,Caffeinism is a common side effect of coffee.
Tom eats some health products containing enzymes every day. He defecates on time every day.,Metabolism takes place by enzymatic catalysis.,Eggs contain enzymes.
The angry patient was injected depressants. He felt calm and relaxed.,Depressants produce relaxed calm feelings.,Depressants relieve anxiety.
The victims were taken to the police office to identify the crimnimal. They tried to recall the face of the criminal.,Criminals have faces.,Crimnials are a series of examinations of the face in relation to the crime of the person.
Lucy has bought a llot of fresh fruit. She has made a glass of smoothy.,Smoothies are made of fresh fruit.,Lettuce is a soft-drinkable drink made from grapes.
He just took the pills. He wants to sleep very much now.,Pills cause a desire to sleep.,Pills cause a desire to sleep.
My mother stewed a mahimachi for me at noon. I've been picking fish bones for a long time.,A mahimahi is a bony fish.,Mahimachi is one of the oldest fish bones in the world.
They are botanists. They collect specimens everyday.,Botanists collect specimens.,Botanists collect specimens.
The old man wants to catch some sunfish. He caught a bluegill.,Bluegills are a member of the sunfish family.,Bluegills are one of the most common fish species in the western United States.
This mobile phone is not durable. The battery often fails to charge.,Phones have cell batteries.,Discharge occurs when the phone is in a state of discharging.
Tom was finding the fly in his house at night. He failed.,Flies are also interesting because they are only active during the day.,Flys are a common cause of death in children under five years of age.
The baby ground squirrels were hidden by their mom. They were not found by the rattlesnakes.,Rattlesnakes love baby ground squirrels.,Rattlesnake nests are small burrows with a few large burrows at the base.
Tom committed incest and rape. He was sentenced to death.,Incest is a serious offence under the criminal code.,Murder is the crime of sodomy.
Gongress passed some proposals. Small buiness benefited from these proposals.,Proposals help small business.,Budgets are used to reduce the cost of goods.
Tom's taste buds on his tongue all lost their function. Tom couldn't be able to know the taste of whatever he eats.,Taste is sensed by taste buds on the surface of the tongue.,Taste is a fundamental part of the human body.
He mistook lots of thiocyanate. His thyroid can't uptake iodine normally.,Thiocyanate interferes with iodine uptake by the thyroid.,Thiocarboxylic acid is also present in the urine but it is excreted in the.
This creature has no anatomies. Tom decided it isn't a colugo.,Colugos have anatomies.,Colugos have no anatomic features.
He fed meat to the Jackrabbit. The jackrabbit doesn't eat at all.,Jackrabbits are strict vegetarians.,Jackrabbits eat only small amounts of meat.
Tom perfers beers made with bottom Fermenting yeasts. He ordered lagers in the bar every time.,Lagers are generally beers made with bottom Fermenting yeasts.,Lagers are a type of beer made with bottling yeasts making their way from bottling to bottling.
The species populations in this area changed abnormally over time. The process of Succession here was worth exploring.,Succession is the process of the species populations in an area changing over time.,Succession occurs when a population adapts to a new environment.
Tom has put different kinds of materials in the furnace. Only beryllium has been left.,Beryllium is the only stable light metal with a relatively high melting point.,Beryllum is the only non-toxic metal.
The ancients recorded by picture writing. Pictographs were formed step by step.,Pictographs are picture writing.,Pictographs are the oldest known image writing system in the ancient world.
"My car is exposed to the acid rain,. The paint on my car is clipped.",Acid rain could effect a car's color.,Acid can be a serious problem when it comes to cars.
Jane wanted to buy a book full of maps bound together. She bought some atlases.,Atlases are maps bound together as books.,Maps are copies of maps.
Mary put the cake into the refrigeratory. Mary found the cake was rich in moisture the next day.,Refrigeration causes excess moisture.,Cakes have a high degree of moisture.
"The doctor treated little Tom's autism with medication. After three months of treatment, his autism has improved significantly.",Medications play a role in treating an individual with autism.,Autism is the most common cause of death in children with autism.
There are many trees with different ages. They have different textures.,Texture reflects differences.,Tree growth is a function of the number of years it takes to reach maturity.
Surface gauss depends on thickness and size of the magnet. Gauss strength diminishes the further the distance from the magnetic field.,Gauss refers to the designated strength of a magnetic field of energy.,Gauss is a measure of the amount of energy in a given amount of time.
This group of Greys have grown up. They are large.,Greys grow to a large size.,Greys grow up to be about the size of a small dog.
The sink has great capacity. It can hold water up to two liters.,Capacity is measured in liters.,Sinks have capacity.
Jack looks at the shape of the rotifers. He saw their bilateral symmetry.,Rotifers have bilateral symmetry.,Rotifers have bilateral symmetry because they have a pair of bilateral symmetries.
Tom did examinations to see whether he got cancer. The doctor's diagnosis confirmed his thought.,Examinations confirm diagnoses.,Cancer is a disease of the immune system.
Tom believes that dogs and wolves belong to the same phylum. Tom is wrong.,Phyla consist of simple multicellular animals.,Phylum is a sub-class of the phylum called the wolf.
The light was off at 10 pm. My pupils became bigger suddenly.,Pupils change size.,Pupils have a hard time focusing on one object at a time.
Susan is a midwife. She was specially trained in childbirth.,Midwives are women with specific training in childbirth.,Midwives specialize in birth control.
He invited his partners to his residence. They entered his residence.,Partners enter residences.,Entrance is by way of security.
"In the humid environment, pecan is easier to grow mold on it. Pecan should be stored in the relatively dry environment.",Pecans are also prone to infection by fungi especially in humid conditions.,Pecans are less susceptible to mold than other plants.
This biologist has problems in other scientific fields to solve. Another bilogist helps him.,Biologists include other scientists.,Bilogists are scientists who specialize in the study of animals.
"Leaders of pyramid schemes are extremely good at instilling their own perceptions to members. As time goes by, their influence on members grows stronger and stronger.",Influence is the ability to shape perceptions in people's heads.,Praetors use their influence to further their own purposes.
Tom was looking for Amphibians in winter. He could only found some sleeping.,Amphibians hibernate during winter.,Amphibians are one of the few species of mammals to survive in the coldest part of the year.
The murderer didn't accept himself for a whole life. He didn't achieve wellness.,Wellness is acceptance of oneself.,Ways to achieve wellness require acceptance.
My pet tom is in the mating season. He eats very little.,Toms eat very little during mating season.,Mating occurs during the first few weeks of the breeding season.
Tom's family go hiking on the plain. They find mangroves.,Mangroves grow on flat terrains.,Mangroves are one of the few plants native to the area.
This kind of bear grew in the forest. This kind of bear habitates in the forest.,Growth affects bear habitats.,Bears eat a variety of plants.
Water with minerals flows in the water mains. On the surface of water mains is some solid stuff.,Sediment is the result of an accumulation of minerals in the water mains.,Mains have silicates.
She was particularly fat. She had been suffering from diabetes.,Diabetes is caused by obesity.,Diabetes is the leading cause of death in the United States.
It is in the breeding season. Testicles descend.,Testicles descend during breeding season.,Testicles are the offspring of the spermatozoa.
The anaconda saw his food in the forest. He opened his mouth.,Anacondas swallow their prey whole starting with the head.,Anacondas have teeth.
The rope connected to my dog was broken. It ran to other's areas.,Dogs invade areas.,Rope connects to places.
Tom was standing in the river and can't move a step. His legs are entangled in duckweed.,Duckweeds grow in water.,Duckweed is one of the most poisonous weeds on the planet.
Tom observed the nucleoli of different kinds of chromosomes under the optical microscope. Tom observed that most of them contain several associated centromeres.,Nucleoli contain at least one usually several associated centromeres.,Centromes are the smallest of the three types of chromosomes.
The research set specific aspartate sites. Caspases cleave target proteins.,Caspases cleave target proteins at specific aspartate sites.,Caspases are the cleverer of all known aspara-mediated cleavage sites.
We succeed in the end. Our fate has been changed.,Fate depends on success.,Ends lead to outcomes.
Some plants are infected by a rare kind of virus. Their cotyledons are destroyed first.,Cotyledons are the site of primary infection.,Cotyletons are the most common type of infected plant.
They went to catch eels today. Many were found after seeing a leaking head in crevices.,Eels tend to hide in crevices during the day with only their head visible.,Eels are very sensitive to temperature.
Tom's goats were attacked by vampires. The goats died of blood shortage.,Vampires can drink blood.,Vampires are a type of vampire.
This user spent over 8 hours a day at this site. This user had a high level of stickiness.,Stickiness is a measure of the amount of time a user spends at a site.,Stickiness refers to the amount of time spent in a particular area of the body without being able to move.
Lucy gave me a pen. I bought ink for the pen.,Pens use ink.,Pens have ink cartridges.
We need a person skilled in all aspects of construction. A carpenter will be recruited.,Carpenters are field personnel skilled in all aspects of construction.,Carpenters are skilled builders.
Tom was born and brought up in Indinana. Tom is American.,Indiana is part of America.,Indinana is a part of the United States.
Some enzymes are working on the dead body of a bird. The body decomposes gradually.,Decomposition is the process of enzymes digesting food.,Dehydration is the process of slowly dissolving the body of an animal.
Many goods have been reduced in price recently. Deflation makes all kinds of shops miserable.,Deflation is a decrease in the general level of prices as measured by some price index.,Deflation is the process of reducing the value of goods.
Judy suffered from tics. She had involuntary movements in her body.,Tics are involuntary movements in the body.,Tics are involuntary movements of the body caused by an involuntary movement of the muscles.
Tom wants to have a bath. Tom filled the bath tub with hot water.,Baths are made of warm water.,Baths are places of warm water.
This monster killed a boy. This monster was pleased.,Killing causes pleasure.,Humans love to kill.
Hardwoods are deciduous. They lose their leaves each fall.,Hardwoods are deciduous meaning they lose their leaves each fall.,Deciduous trees are the most abundant of all the woody shrubs in the western United States.
"Knowing that live plants will release oxygen as they grow, a scientist makes experiments to find more information about their process of growth. The scientist finds that aeration also accurs as they grow.",Aeration also occurs when live plants release oxygen as they grow.,Aeration is the process of increasing the amount of oxygen in the air as it is released from the body.
John only sells amphetamines. He only looks for people who have failed other weight loss methods.,Amphetamines are only to be used by people who have failed other weight loss methods.,Amphetamines are a type of drug used to control weight loss.
The author used Personification to descibe the inanimate object. The reader felt  as though it had human capacities.,Personification is the description of an inanimate object as though it had human capacities.,Personification is the use of an object to describe a human being.
They dissected the human ear to see the structure of cochlea. They found there were  a basilar turn with a cystic cavity.,Cochlea consists of a basilar turn with a cystic cavity.,Cochleas have a cyst at the base of the iliac crest.
His mother carried the decay-causing bacteria and kissed him. He was infected.,Parents can spread decay-causing bacteria to their children in their saliva.,Erythrocytes are a group of bacteria found in the saliva of many animals.
Oil is lost quickly during drilling. Workers use acrylamide.,Acrylamides find use in oil-drilling processes to control fluid losses.,Acrylamides are used in the drilling process to break down oil.
Several moles were introduced into a piece of farmland where harmful insects thrived. The insects decreased swiftly in number.,Moles help control populations of harmful insects.,Moles are one of the most destructive insects on the food chain.
Tom's grandmother is a witch. Many altars have been set up in his courtyard.,Altars are a witches' way of focusing their thoughts similar to prayer.,Altars are places of worship.
Breast tissue is expected to be activated. Prolactin is needed.,Prolactin activates breast tissue.,Prolactin acts as a pro-inflammatory cytokine in the presence of other cytokines.
Tom was interested in studying movement. Tom majored in kinesiology.,Kinesiology refers to the study of movement.,Kinesiology is the study of movement.
We came to Pygmy land. They took us in.,Pygmies share habitats.,Pygmy is a country of people.
Tom wanted some lahars. He went to a volcano and got some accumulations of unconsolidated materials on the flanks.,Lahars are accumulations of unconsolidated materials on the flanks of volcanoes.,Lahars are a type of volcanic rock.
Tom sweats a lot. The doctor said he was suffering from a skin disease.,Tinea occurs in people who perspire a lot.,Swells can cause skin diseases.
The seller should avoid nature's way of spoiling things like food. He found ways to prevent oxidation.,Oxidation is nature's way of spoiling things like food.,Oxidation is the process by which a substance reacts with water to make it less toxic to the body.
She is the best receptionist in her company. She is very good at communicating with others.,Receptionists should have communication skills.,Receptionists are people who have a desire to connect with people.
The man took a photo of the bipe. His friend saw the two small front limbs on that photo.,Bipes has two small front limbs.,Bipe is a small bipedal animal.
He can't see clearly. There must be something wrong with the nuclei in his brainstem.,Vision is controlled by groups of cells called nuclei in the brainstem.,Nuclei are part of the brainstem's electrical system.
Tom has a weak photosensitivity. He was allergic to the sunshine.,Photosensitivity is a common reaction to the sun.,Sunshine is a sign of a weak immune system.
The researcher marked the different allotropes of sulphur. The researcher found five types of sulphur.,Sulphur can exist as five different allotropes.,Allotropes are a group of proteins called allosteric.
Bill put oil on the firewood. The whole kitchen was burnt down more quickly.,Fuel leads to rapid combustion.,Burns cause a desire to burn.
Lucy has suffered from the gonococcal infection when she was pregnant. The doctor gave him some medicine containing spectinomycin.,Spectinomycin is used to treat certain gonococcal infections during pregnancy.,Spectinomycin is a drug used to treat gonorrhea.
"A woman got infectious in her wound, which led to bacteremia. The doctor used antipyretic to treat her fever.",Bacteremia causes a fever but no other specific symptoms.,Antipyretics are the most effective way to prevent infection in the body.
Jack put amylase into starch. The breakdown of starch is accelerated.,Amylase catalyses the breakdown of starch.,Amylase is involved in the degradation of starch.
Peter likes to go fishing by the lake in spring. He often catches walleye.,Walleye move in from miles away in early spring to lay their eggs.,Walleye are one of the most popular fish of the season.
Tom suffered from the demyelination many years ago. He recently was diagnosed with the multiple sclerosis.,Demyelination leads to progressive dysfunction such as seen in multiple sclerosis.,Mysergoses is a disease of the brain caused by the interstitial cytoplasm of the .
There are different kinds of weather in different places on the earth. It is much colder along fault lines.,Colds happen in the winter earthquakes along fault lines hurricaines in the ocean.,Fault lines are the points in the earth's magnetic field from the equator to the poles.
Luke's backbones received outside pressure. His rigid bones bent.,Bones are rigid but they do bend when outside pressure is applied.,Lobes have a tendency to bend inward.
Gems are precious. Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom.,Gems are the flowers of the mineral kingdom.,Gems have properties.
Jack is a hairdresser. His hands were corroded by chemical products.,Hairdressers use chemical products.,Hairdressers are used to clean the skin of animals.
Tom submitted my ideas as his own. He was accused of plagarism.,Plagiarism is the act of submitting another person's ideas as one's own.,Pagnarism is an autosomal recessive disease characterized by autosomal dominant mutations.
His eyes were lack in light-gathering agents. He should eat more carrots which is rich in carotenoids.,Carotenoids are light-gathering agents in the pigments of eyes.,Carotenoid is a group of molecules involved in the regulation of the body's natural antioxidant defense.
Tom was a homosexual. He also had basic needs to make love as others.,Homosexuals are human beings with the same basic needs as all human beings.,Homosexuals have basic needs.
Hemingway had a rich life experience. He produced wonderful literature based on his experience.,Literature is the creative expression of human experience.,Literacy is the process of producing good literature.
The patient suffers from post-polio syndrome. The patient is plagued by weakness.,Weakness is the general symptom of post-polio syndrome.,Post-poloidism is a disease of the central nervous system.
"Tom is taking a course in cryobiology. When he does experiments, he needs to freeze the biological specimens in advance for observation.",Cryobiology is the science of preserving biological specimens at low temperatures.,Cryobiology is the process of freezing the biological specimen in advance to observe the effects of chemical changes.
This house has some infiltration problem. Temperature in this house can be very low in winter.,Infiltration refers to the leakage of undesired air into the home.,Infiltration is the process of breaking down a piece of insulation.
Emily has many beautiful dolls. Each of them has a fashion hairstyle.,Dolls have heads.,Dollars have different styles.
The physics teacher will explain the nature of current in this lesson. He talked a lot about current loads.,Current has load.,Current is a term used to describe the amount of current present in the system.
Bob wants to study photosynthesis. He found many trees with good branches.,Branches dedicate to photosynthesis.,Photosynthesis is the process of converting carbon dioxide to hydrogen peroxide.
The customer considered geomancy  very important. The house selling girl emphasized the spiritual ecology of the house.,Geomancy is spiritual ecology.,Geomancy is the study of the spiritual aspects of the human body.
Seals are mammals. They can live well in winter.,Seals are protected from the cold by a thick layer of blubber combined with a thick fur coat.,Hematoblastoma is the most common cause of death in the haematopoietic.
His mother has just gone through menopause. His mother's bone began to lose rapidly.,Women lose bone rapidly after menopause.,Menopause is a time when the bones begin to lose their ability to break down in the body.
This disease caused degenerative changes of the myocardium in Tom's heart. The bulk of the heart's mass was negatively affected.,Myocardium constitutes the bulk of the heart's mass.,Degenerative changes can occur as a result of damage to the central nervous system.
The Father gave my baby immersion. My baby was baptized.,Immersion is baptism.,Imbalances are the baptism of a child into the presence of the Father.
Tom wandered in the early spring. Tom saw snowdrops.,Snowdrops are the early spring flowering bulbs.,Snowdrops fall from trees.
I am a citizen with all legal rights. I have enfranchisement regardless of my nationality.,Enfranchisement is a right to be decided independently from nationality.,Enfranchise is the act of transferring one's citizenship to another person.
I lack vitamin C. My mom buys oranges for me.,Oranges have a high vitamin c content.,Oats are high in vitamin C because they contain high amounts of it.
Parakeets were caught by hunters in their natural environment. Their nomadic lives were broken.,Parakeets lead nomadic lives in their natural environment.,Mammals live in wilderness areas.
Mary wants to cook in the kitchen. Mary find the kitchen in a restaurant.,Kitchens appear in restaurants.,Cooking is the process of making food from scratch.
Lucy works in a courthouse. She can have a rest after the daytime.,Courthouses are daytime buildings.,Courts have quiet periods.
Lucy has reached her sexual maturity. Her menstruation starts.,Menstruation starts when a female has reached sexual maturity.,Miscarriage is the start of the menstrual cycle.
Tom saw a typical virago for the first time. He was shocked.,Viragos have shocks.,Virago are very similar to other virago in their size but they have a different body shape.
The percentage of oxygen is low in water. Iguanas have difficulty in breathing.,Iguanas hold underwater breaths.,Iguanas require oxygen.
The rain forest abounds with rain. The vegetation there is exceptionally vigorous.,Rain produces vegetation growth.,Rainforests produce large amounts of carbon dioxide.
"He took opium. His wound no longer hurts, and he fainted after being excited.",Opium primarily relieves pain raises the spirits then stupefies.,Psilocybin is a powerful drug used to treat the pain associated with anaphylaxis.
Tom cut the head of the perch. He found its jaw.,Perches have jaws.,Perches have jaws.
Weightlifters train very hard. Their muscles grow fast.,Weightlifters eat enough carbohydrates.,Lifting causes the muscles to grow in response to gravity.
The phonetician said the sound has a high frequency. He used the picture of its dense pulses to prove his opinion.,Pulses offer evidence.,Phoneticians use pictures to demonstrate the sound's density.
