The woman gave birth to a child. The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,Psychosomatic phenomena are the physical manifestation of a new mental state.
He asked the cardiologist to watch the condition of the heart. The doctor said that his heart rhythm is uneven.,Cardiologists can watch the heart pumping.,Cardiac arrhythmias are a common cause of arrhythmia.
Enzymes are necessary for children's growth. Children are encouraged to eat sprouts.,Sprouts are in fact one of the richest sources of enzymes.,Sprouts are a good source of protein.
The house of the people holds justice. Parliament is a place of justice.,Parliament is the house of the people.,Justice is the process of bringing an individual to justice.
The man devoted himself to journalism. He mastered the popular language used in pursuit of truth.,Journalism is the popular language used in pursuit of truth.,Journalism is the art of communicating with the public through the use of spoken language.
Tom found a small dome-shaped beetle. He said he got a ladybug.,Ladybugs are small dome-shaped beetles.,Ladybugs are the smallest of all insects.
The primates didn't want to be exhibit animals. They escaped from the zoo.,Zoos collect primates as exhibit animals.,Pythons are one of the few mammals in the wild who have no desire to leave their home.
"The root of the plant rotted. In order to save the plant, Tom gave it a rhizoid.",Rhizoids function as roots.,Rhinodonts are a type of plant known as rhizoids.
Tom was a shepherd. He took care of a flock of sheep.,Shepherds keep sheep.,Pheasants are herd animals who have been taken care of by other members of their herd family.
Tom feels that his asthma is about to attack. He eats some singulars.,Singular is a drug used to prevent the acute attacks of asthma.,Passion is the feeling of a desire to live a life full of meaning.
The teacher gives an example to illustrate the grammar point. But the students can't understand the example.,Examples have limitations.,Grammar is the process of making sense of a given situation.
Nobody has seen edaphosauruses before. The scientist observed its appearance.,Edaphosauruses have appearances.,Edaphosaurs are the first to appear in the fossil record.
All relatives entered the family room. They sat on the chairs one by one.,Chairs sit in family rooms.,Aunts sit on the other side of the room.
"There are many people, among which part of them are with normal sight and part of them are blind. Normal people can see everything and blind people are in a dark world without any light.",Blindness is viewed in almost the opposite light.,Vision is the ability to see only one part of the body at a time.
The wine must be kept from becoming flabby. Acidity should be used.,Acidity is used to keep the wine from becoming flabby.,Acidity is a measure of the amount of water in the wine.
Tom ran into an anemone. He was poisoned.,Anemones release toxins.,Anemones are a common cause of death in people with anencephaly.
The company keeps the steel in a wet warehouse. The company loses one million due to rust after a few months.,Moisture is the main cause of rust.,Steel is used in many household products.
Mary ate lots of chocolate. She also intook theobromine.,Chocolate contains an ingredient called theobromine.,Intake of an anticoagulant is one of the most effective ways to reduce the risk of developing.
Tracheilds are not suitable to be used as fire materials. Farmers do not use softwoods as firewoods.,Softwoods contain only tracheids.,Softwoods are a type of wood most commonly used in the production of firewood.
The field was very quiet at night. The silence was broken by several bird calls.,Blackbirds break up the quiet by cawing while soaring overhead.,Dogs feed on grasshoppers.
The possum has eaten an ill bird. It died.,Possums acquire the disease by eating infected birds.,Possums are one of the most common causes of death in the animal kingdom.
He served as an accountant in this company. He worked hard to manage the balance.,Accountants desire balance.,Accounting is the process of managing the balance of a business.
Lyle has ophthalmologist. Lyle's doctor treated him with a laser.,Ophthalmologists commonly treat proliferative retinopathy with laser therapy.,Lasers are a type of laser used in the treatment of ocular diseases such as glaucoma.
This experiment requires a gray-white solid with a shiny surface. The teacher provided tellurium.,Tellurium is a grayish-white solid with a shiny surface.,Tellurium is a very common mineral in the earth's crust.
Their new baby born yesterday. This new life starts to cry.,Lives start with breathes.,Crying is the start of a new life.
The vocal folds vibrated. Compression sound waves were produced.,Vibration creates compression waves.,Compression is the vibration of the vocal folds.
Jack's hemoglobin levels are low. He has been dizzy lately.,Hemoglobins have mass.,Dizziness is a common side effect of high blood pressure.
Jerry was baptized. He was identified by the believers.,Baptism is an identification with the community of believers.,Baptism is the identification of one's faith with one's own body.
"Emma, who is a regular coffee drinker, is very hyper these days. The doctor diagnosed him as caffeinism.",Caffeinism is a stimulated condition of chronic poisoning due to over-indulgence of caffeine.,Caffeinism is a type of hypertriglyceridemia caused by an excess of sugar in the.
Tom eats some health products containing enzymes every day. He defecates on time every day.,Metabolism takes place by enzymatic catalysis.,Enzymes are proteins used to digest food.
The angry patient was injected depressants. He felt calm and relaxed.,Depressants produce relaxed calm feelings.,Depressants help to calm the mind.
The victims were taken to the police office to identify the crimnimal. They tried to recall the face of the criminal.,Criminals have faces.,Crimnials are a series of photographs taken during a crime in which a person is identified as a criminal.
Lucy has bought a llot of fresh fruit. She has made a glass of smoothy.,Smoothies are made of fresh fruit.,Lettuce is a soft drink made from the leaves of the lycopersicon family.
He just took the pills. He wants to sleep very much now.,Pills cause a desire to sleep.,Pills cause a desire to sleep.
My mother stewed a mahimachi for me at noon. I've been picking fish bones for a long time.,A mahimahi is a bony fish.,Mahimas are one of the oldest fish bones in the family.
They are botanists. They collect specimens everyday.,Botanists collect specimens.,Botanists collect specimens from plants to make their own medicine.
The old man wants to catch some sunfish. He caught a bluegill.,Bluegills are a member of the sunfish family.,Bluegills are very sensitive to ultraviolet radiation.
This mobile phone is not durable. The battery often fails to charge.,Phones have cell batteries.,Laptops have batteries.
Tom was finding the fly in his house at night. He failed.,Flies are also interesting because they are only active during the day.,Flys are a common cause of death in children.
The baby ground squirrels were hidden by their mom. They were not found by the rattlesnakes.,Rattlesnakes love baby ground squirrels.,Rattlesnake burrows have burrows.
Tom committed incest and rape. He was sentenced to death.,Incest is a serious offence under the criminal code.,Murder is the crime of killing a human being without due process of law.
Gongress passed some proposals. Small buiness benefited from these proposals.,Proposals help small business.,Budgets have small effects.
Tom's taste buds on his tongue all lost their function. Tom couldn't be able to know the taste of whatever he eats.,Taste is sensed by taste buds on the surface of the tongue.,Taste is the ability of the brain to process food in a way it has never been able to before.
He mistook lots of thiocyanate. His thyroid can't uptake iodine normally.,Thiocyanate interferes with iodine uptake by the thyroid.,Thiocarboxylic acid is also present in the blood but it is excreted by the.
This creature has no anatomies. Tom decided it isn't a colugo.,Colugos have anatomies.,Colugos have no anatomic features at all.
He fed meat to the Jackrabbit. The jackrabbit doesn't eat at all.,Jackrabbits are strict vegetarians.,Jackrabbits are omnivores.
Tom perfers beers made with bottom Fermenting yeasts. He ordered lagers in the bar every time.,Lagers are generally beers made with bottom Fermenting yeasts.,Lagers are made with bottling yeasts from bottling yeast.
The species populations in this area changed abnormally over time. The process of Succession here was worth exploring.,Succession is the process of the species populations in an area changing over time.,Succession occurs when a population undergoes a change in the genetic makeup of a particular species.
Tom has put different kinds of materials in the furnace. Only beryllium has been left.,Beryllium is the only stable light metal with a relatively high melting point.,Beryllum is a very rare metal.
The ancients recorded by picture writing. Pictographs were formed step by step.,Pictographs are picture writing.,Pictographs are the oldest known type of writing.
"My car is exposed to the acid rain,. The paint on my car is clipped.",Acid rain could effect a car's color.,Paint is applied to the underside of the car to make it appear as though it has been completely dry.
Jane wanted to buy a book full of maps bound together. She bought some atlases.,Atlases are maps bound together as books.,Atlases have maps.
Mary put the cake into the refrigeratory. Mary found the cake was rich in moisture the next day.,Refrigeration causes excess moisture.,Moisture is a chemical used to keep food from sticking to the bottom of the bowl.
"The doctor treated little Tom's autism with medication. After three months of treatment, his autism has improved significantly.",Medications play a role in treating an individual with autism.,Autism is the most common type of autism in children.
There are many trees with different ages. They have different textures.,Texture reflects differences.,Tree growth depends on the type of tree it is growing in.
Surface gauss depends on thickness and size of the magnet. Gauss strength diminishes the further the distance from the magnetic field.,Gauss refers to the designated strength of a magnetic field of energy.,Gauss is a measure of the amount of time it takes to spin a piece of metal in a certain direction.
This group of Greys have grown up. They are large.,Greys grow to a large size.,Greys grow in large groups.
The sink has great capacity. It can hold water up to two liters.,Capacity is measured in liters.,Sinks have capacity.
Jack looks at the shape of the rotifers. He saw their bilateral symmetry.,Rotifers have bilateral symmetry.,Rotifers have a bilateral symmetry similar to the ruminants.
Tom did examinations to see whether he got cancer. The doctor's diagnosis confirmed his thought.,Examinations confirm diagnoses.,Cancer is the most common cause of death in young adults.
Tom believes that dogs and wolves belong to the same phylum. Tom is wrong.,Phyla consist of simple multicellular animals.,Phylum is a group of animals with the same number of phylum as the rest of the animal kingdom.
The light was off at 10 pm. My pupils became bigger suddenly.,Pupils change size.,Pupils are sensitive to light.
Susan is a midwife. She was specially trained in childbirth.,Midwives are women with specific training in childbirth.,Midwives specialize in the care of babies.
He invited his partners to his residence. They entered his residence.,Partners enter residences.,Attendants enter residences.
"In the humid environment, pecan is easier to grow mold on it. Pecan should be stored in the relatively dry environment.",Pecans are also prone to infection by fungi especially in humid conditions.,Pecans are one of the few plants native to the humid tropical rainforests of South America.
This biologist has problems in other scientific fields to solve. Another bilogist helps him.,Biologists include other scientists.,Bilogist is a group of scientists who specialize in the study of biological processes.
"Leaders of pyramid schemes are extremely good at instilling their own perceptions to members. As time goes by, their influence on members grows stronger and stronger.",Influence is the ability to shape perceptions in people's heads.,Praetorians believe in the power of their own perception to shape the course of events in the universe.
Tom was looking for Amphibians in winter. He could only found some sleeping.,Amphibians hibernate during winter.,Amphibians live in temperate climates.
The murderer didn't accept himself for a whole life. He didn't achieve wellness.,Wellness is acceptance of oneself.,Self-esteem is the ability to live a full life.
My pet tom is in the mating season. He eats very little.,Toms eat very little during mating season.,Mating occurs during the first few months of the breeding season.
Tom's family go hiking on the plain. They find mangroves.,Mangroves grow on flat terrains.,Mangroves are a common source of food in many parts of the country.
This kind of bear grew in the forest. This kind of bear habitates in the forest.,Growth affects bear habitats.,Bears eat a variety of food including grasshoppers.
Water with minerals flows in the water mains. On the surface of water mains is some solid stuff.,Sediment is the result of an accumulation of minerals in the water mains.,Mains have silicates.
She was particularly fat. She had been suffering from diabetes.,Diabetes is caused by obesity.,Diabetes is a disease of the pancreas.
It is in the breeding season. Testicles descend.,Testicles descend during breeding season.,Testicles descend from the ovaries.
The anaconda saw his food in the forest. He opened his mouth.,Anacondas swallow their prey whole starting with the head.,Anacondas have mouths.
The rope connected to my dog was broken. It ran to other's areas.,Dogs invade areas.,Rope connects to other dogs' areas.
Tom was standing in the river and can't move a step. His legs are entangled in duckweed.,Duckweeds grow in water.,Duckweed is a poisonous plant found in many parts of the United States.
Tom observed the nucleoli of different kinds of chromosomes under the optical microscope. Tom observed that most of them contain several associated centromeres.,Nucleoli contain at least one usually several associated centromeres.,Centromes are one of the most common types of chromosomes found in the human genome.
The research set specific aspartate sites. Caspases cleave target proteins.,Caspases cleave target proteins at specific aspartate sites.,Aspartate is cleaved by caspases to cleave a specific site.
We succeed in the end. Our fate has been changed.,Fate depends on success.,Ends lead to change.
Some plants are infected by a rare kind of virus. Their cotyledons are destroyed first.,Cotyledons are the site of primary infection.,Coties are the only plants capable of surviving in the absence of a virus.
They went to catch eels today. Many were found after seeing a leaking head in crevices.,Eels tend to hide in crevices during the day with only their head visible.,Eels are the most common type of sea urchin.
Tom's goats were attacked by vampires. The goats died of blood shortage.,Vampires can drink blood.,Vampires are the most common type of vampire.
This user spent over 8 hours a day at this site. This user had a high level of stickiness.,Stickiness is a measure of the amount of time a user spends at a site.,Stickiness is the amount of time spent at a given point in time during a day.
Lucy gave me a pen. I bought ink for the pen.,Pens use ink.,Pens have ink cartridges.
We need a person skilled in all aspects of construction. A carpenter will be recruited.,Carpenters are field personnel skilled in all aspects of construction.,Carpenters are skilled in the art of making metal objects.
Tom was born and brought up in Indinana. Tom is American.,Indiana is part of America.,Indinana is a language spoken by a small group of people.
Some enzymes are working on the dead body of a bird. The body decomposes gradually.,Decomposition is the process of enzymes digesting food.,Dehydration is the gradual process of the body decomposing slowly.
Many goods have been reduced in price recently. Deflation makes all kinds of shops miserable.,Deflation is a decrease in the general level of prices as measured by some price index.,Deflation is the process of reducing the amount of goods produced by a given country.
Judy suffered from tics. She had involuntary movements in her body.,Tics are involuntary movements in the body.,Tics are involuntary movements caused by the presence of a substance on the skin.
Tom wants to have a bath. Tom filled the bath tub with hot water.,Baths are made of warm water.,Baths are pools of water in the middle of the ocean.
This monster killed a boy. This monster was pleased.,Killing causes pleasure.,Fate is a desire to be loved.
Hardwoods are deciduous. They lose their leaves each fall.,Hardwoods are deciduous meaning they lose their leaves each fall.,Deciduous trees are the most drought-tolerant of all the sub-tropical trees.
"Knowing that live plants will release oxygen as they grow, a scientist makes experiments to find more information about their process of growth. The scientist finds that aeration also accurs as they grow.",Aeration also occurs when live plants release oxygen as they grow.,Aeration is the process of transferring oxygen from one plant to another as it grows.
John only sells amphetamines. He only looks for people who have failed other weight loss methods.,Amphetamines are only to be used by people who have failed other weight loss methods.,Alcoholics use alcohol.
The author used Personification to descibe the inanimate object. The reader felt  as though it had human capacities.,Personification is the description of an inanimate object as though it had human capacities.,Personification is the use of an object to describe inanimate objects.
They dissected the human ear to see the structure of cochlea. They found there were  a basilar turn with a cystic cavity.,Cochlea consists of a basilar turn with a cystic cavity.,Cochleas have a basal turn at the base of the cyst.
His mother carried the decay-causing bacteria and kissed him. He was infected.,Parents can spread decay-causing bacteria to their children in their saliva.,Erythropoiesis is a disease caused by the bacterium erythropoietin.
Oil is lost quickly during drilling. Workers use acrylamide.,Acrylamides find use in oil-drilling processes to control fluid losses.,Acrylamides are a common chemical used in the production of oil.
Several moles were introduced into a piece of farmland where harmful insects thrived. The insects decreased swiftly in number.,Moles help control populations of harmful insects.,Moles are the mainstay of pest control in agricultural areas.
Tom's grandmother is a witch. Many altars have been set up in his courtyard.,Altars are a witches' way of focusing their thoughts similar to prayer.,Altars are places of worship.
Breast tissue is expected to be activated. Prolactin is needed.,Prolactin activates breast tissue.,Proteins are the most abundant of all proteins involved in the activation of the immune system.
Tom was interested in studying movement. Tom majored in kinesiology.,Kinesiology refers to the study of movement.,Kinesiology is the study of movement.
We came to Pygmy land. They took us in.,Pygmies share habitats.,Pygmy is a place of people who live in harmony with nature.
Tom wanted some lahars. He went to a volcano and got some accumulations of unconsolidated materials on the flanks.,Lahars are accumulations of unconsolidated materials on the flanks of volcanoes.,Lahars are a type of crystalline material.
Tom sweats a lot. The doctor said he was suffering from a skin disease.,Tinea occurs in people who perspire a lot.,Swells are caused by inflammation of the skin.
The seller should avoid nature's way of spoiling things like food. He found ways to prevent oxidation.,Oxidation is nature's way of spoiling things like food.,Oxidation is the process of breaking down a substance such as food.
She is the best receptionist in her company. She is very good at communicating with others.,Receptionists should have communication skills.,Receptionists are people who have experience communicating with other people.
The man took a photo of the bipe. His friend saw the two small front limbs on that photo.,Bipes has two small front limbs.,Bipe have small front legs.
He can't see clearly. There must be something wrong with the nuclei in his brainstem.,Vision is controlled by groups of cells called nuclei in the brainstem.,Nuclei are part of the structure of the brainstem called the thalamus.
Tom has a weak photosensitivity. He was allergic to the sunshine.,Photosensitivity is a common reaction to the sun.,Sunshine is a natural light source.
The researcher marked the different allotropes of sulphur. The researcher found five types of sulphur.,Sulphur can exist as five different allotropes.,Allotropes are a group of substances found mainly in the sulphur subgroup.
Bill put oil on the firewood. The whole kitchen was burnt down more quickly.,Fuel leads to rapid combustion.,Burns are caused by combustion of natural gas.
Lucy has suffered from the gonococcal infection when she was pregnant. The doctor gave him some medicine containing spectinomycin.,Spectinomycin is used to treat certain gonococcal infections during pregnancy.,Spectinomycin is a drug used to treat gonorrhea in the treatment of meningococcal.
"A woman got infectious in her wound, which led to bacteremia. The doctor used antipyretic to treat her fever.",Bacteremia causes a fever but no other specific symptoms.,Antipyretics can block the growth of a virus in the body.
Jack put amylase into starch. The breakdown of starch is accelerated.,Amylase catalyses the breakdown of starch.,Amylase is the enzyme involved in the degradation of starch.
Peter likes to go fishing by the lake in spring. He often catches walleye.,Walleye move in from miles away in early spring to lay their eggs.,Walleye are one of the most popular fish of the season.
Tom suffered from the demyelination many years ago. He recently was diagnosed with the multiple sclerosis.,Demyelination leads to progressive dysfunction such as seen in multiple sclerosis.,Mysergoses is a disease of the immune system caused by the production of reactive neutrophils.
There are different kinds of weather in different places on the earth. It is much colder along fault lines.,Colds happen in the winter earthquakes along fault lines hurricaines in the ocean.,Fault lines are the warmest parts of the earth's surface.
Luke's backbones received outside pressure. His rigid bones bent.,Bones are rigid but they do bend when outside pressure is applied.,Ribs are the bones of the vertebrae.
Gems are precious. Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom.,Gems are the flowers of the mineral kingdom.,Gems have properties.
Jack is a hairdresser. His hands were corroded by chemical products.,Hairdressers use chemical products.,Hairdressers are used in the manufacture of high-end fashion items.
Tom submitted my ideas as his own. He was accused of plagarism.,Plagiarism is the act of submitting another person's ideas as one's own.,Pangarism is a disease of the brain caused by a traumatic brain injury.
His eyes were lack in light-gathering agents. He should eat more carrots which is rich in carotenoids.,Carotenoids are light-gathering agents in the pigments of eyes.,Carotenoid is present in the diets of many plant-based diets.
Tom was a homosexual. He also had basic needs to make love as others.,Homosexuals are human beings with the same basic needs as all human beings.,Homosexuals have basic needs.
Hemingway had a rich life experience. He produced wonderful literature based on his experience.,Literature is the creative expression of human experience.,Livestock is one of the most famous animals in the animal kingdom.
The patient suffers from post-polio syndrome. The patient is plagued by weakness.,Weakness is the general symptom of post-polio syndrome.,Post-polion syndrome is a chronic disease characterized by weakness in the central nervous system.
"Tom is taking a course in cryobiology. When he does experiments, he needs to freeze the biological specimens in advance for observation.",Cryobiology is the science of preserving biological specimens at low temperatures.,Cryobiology is the process of freezing the biological specimen in advance to observe the effects of chemical changes.
This house has some infiltration problem. Temperature in this house can be very low in winter.,Infiltration refers to the leakage of undesired air into the home.,Intimidation is the process of isolating a specific type of bacteria from the environment.
Emily has many beautiful dolls. Each of them has a fashion hairstyle.,Dolls have heads.,Dollars have style.
The physics teacher will explain the nature of current in this lesson. He talked a lot about current loads.,Current has load.,Current is a measure of the amount of current flowing through a system.
Bob wants to study photosynthesis. He found many trees with good branches.,Branches dedicate to photosynthesis.,Photosynthesis is the process of converting carbon dioxide into hydrogen peroxide.
The customer considered geomancy  very important. The house selling girl emphasized the spiritual ecology of the house.,Geomancy is spiritual ecology.,Geomancy is the study of the relationship between the physical environment and the spiritual nature of the home.
Seals are mammals. They can live well in winter.,Seals are protected from the cold by a thick layer of blubber combined with a thick fur coat.,Livestock feed on lice.
His mother has just gone through menopause. His mother's bone began to lose rapidly.,Women lose bone rapidly after menopause.,Menopause is a time when the body begins to lose the ability to produce enough of the bone to make.
This disease caused degenerative changes of the myocardium in Tom's heart. The bulk of the heart's mass was negatively affected.,Myocardium constitutes the bulk of the heart's mass.,Degradation is caused by the loss of a large part of the blood supply to the central nervous system.
The Father gave my baby immersion. My baby was baptized.,Immersion is baptism.,Baptism is the baptism of the dead.
Tom wandered in the early spring. Tom saw snowdrops.,Snowdrops are the early spring flowering bulbs.,Snowdrops fall from trees.
I am a citizen with all legal rights. I have enfranchisement regardless of my nationality.,Enfranchisement is a right to be decided independently from nationality.,Enfranchise is the right to live as a non-citizen in the United States without fear of.
I lack vitamin C. My mom buys oranges for me.,Oranges have a high vitamin c content.,Oats are a good source of vitamin C because they are a rich source of the vitamin C needed to maintain.
Parakeets were caught by hunters in their natural environment. Their nomadic lives were broken.,Parakeets lead nomadic lives in their natural environment.,Mammals are a group of animals who live in the wild as a way of escaping from the harsh environment.
Mary wants to cook in the kitchen. Mary find the kitchen in a restaurant.,Kitchens appear in restaurants.,Cooking is the process of making food from scratch.
Lucy works in a courthouse. She can have a rest after the daytime.,Courthouses are daytime buildings.,Courts are places of quiet contemplation.
Lucy has reached her sexual maturity. Her menstruation starts.,Menstruation starts when a female has reached sexual maturity.,Miscarriage begins when a woman reaches the point of sexual maturity at about the age of menopause.
Tom saw a typical virago for the first time. He was shocked.,Viragos have shocks.,Viragos are very common in the wild but they can also be found in other habitats such as marsup.
The percentage of oxygen is low in water. Iguanas have difficulty in breathing.,Iguanas hold underwater breaths.,Iguanas are able to breathe through their gills due to the lack of oxygen in the air.
