Gongress passed some proposals. Small buiness benefited from these proposals.,Proposals help small business.,Budgets are a measure of the size of a bill.
Tom's taste buds on his tongue all lost their function. Tom couldn't be able to know the taste of whatever he eats.,Taste is sensed by taste buds on the surface of the tongue.,Taste is the ability of the brain to process food in a way similar to the way it does with the.
He mistook lots of thiocyanate. His thyroid can't uptake iodine normally.,Thiocyanate interferes with iodine uptake by the thyroid.,Thiocarboxylic acid is released by the thyroid in the absence of iodine excretion.
This creature has no anatomies. Tom decided it isn't a colugo.,Colugos have anatomies.,Colugos have no anatomic features.
He fed meat to the Jackrabbit. The jackrabbit doesn't eat at all.,Jackrabbits are strict vegetarians.,Jackrabbits are omnivores.
Tom perfers beers made with bottom Fermenting yeasts. He ordered lagers in the bar every time.,Lagers are generally beers made with bottom Fermenting yeasts.,Lagers are beers made from bottom fermenting yeast.
The species populations in this area changed abnormally over time. The process of Succession here was worth exploring.,Succession is the process of the species populations in an area changing over time.,Succession occurs when a species population changes from a stable state to a state of decline.
Tom has put different kinds of materials in the furnace. Only beryllium has been left.,Beryllium is the only stable light metal with a relatively high melting point.,Beryllum is a member of the family of bioluminescence.
The ancients recorded by picture writing. Pictographs were formed step by step.,Pictographs are picture writing.,Pictographs are a type of writing system used in the ancient world to indicate the position of objects in the sky.
"My car is exposed to the acid rain,. The paint on my car is clipped.",Acid rain could effect a car's color.,Acid rain is a chemical reaction caused by the action of acids on the surface of the metal.
Jane wanted to buy a book full of maps bound together. She bought some atlases.,Atlases are maps bound together as books.,Alases have maps.
Mary put the cake into the refrigeratory. Mary found the cake was rich in moisture the next day.,Refrigeration causes excess moisture.,Moisture is a by-product of the baking process.
"The doctor treated little Tom's autism with medication. After three months of treatment, his autism has improved significantly.",Medications play a role in treating an individual with autism.,Autism is a neurological condition characterized by an increase in the number of new neurons in the brain.
There are many trees with different ages. They have different textures.,Texture reflects differences.,Wood has different texture.
Surface gauss depends on thickness and size of the magnet. Gauss strength diminishes the further the distance from the magnetic field.,Gauss refers to the designated strength of a magnetic field of energy.,Gauss is a measure of the amount of energy a magnetic field is applied to a surface.
This group of Greys have grown up. They are large.,Greys grow to a large size.,Greys grow up to be about the size of a small dog.
The sink has great capacity. It can hold water up to two liters.,Capacity is measured in liters.,Sinks have capacity.
Jack looks at the shape of the rotifers. He saw their bilateral symmetry.,Rotifers have bilateral symmetry.,Rotifers are very similar in shape to the bilateral symmetry of the rostral vertebrae.
Tom did examinations to see whether he got cancer. The doctor's diagnosis confirmed his thought.,Examinations confirm diagnoses.,Cancer is the most common cause of death in young people.
Tom believes that dogs and wolves belong to the same phylum. Tom is wrong.,Phyla consist of simple multicellular animals.,Phylum is a group of groups of animals with the same number of members.
The light was off at 10 pm. My pupils became bigger suddenly.,Pupils change size.,Pupils become smaller as the light is off.
Susan is a midwife. She was specially trained in childbirth.,Midwives are women with specific training in childbirth.,Midwifes are specialists who specialize in the care of women who are at high risk of developing an early.
He invited his partners to his residence. They entered his residence.,Partners enter residences.,Hosts enter residences.
"In the humid environment, pecan is easier to grow mold on it. Pecan should be stored in the relatively dry environment.",Pecans are also prone to infection by fungi especially in humid conditions.,Pecans are also less susceptible to mold growth due to their low moisture content.
This biologist has problems in other scientific fields to solve. Another bilogist helps him.,Biologists include other scientists.,Bilogist is a group of scientists who study the effects of carbon dioxide on the biosphere.
"Leaders of pyramid schemes are extremely good at instilling their own perceptions to members. As time goes by, their influence on members grows stronger and stronger.",Influence is the ability to shape perceptions in people's heads.,Praetors believe in their own perception of themselves as individuals rather than as a group.
Tom was looking for Amphibians in winter. He could only found some sleeping.,Amphibians hibernate during winter.,Amphibians are a common sight in the south-east during the winter months.
The murderer didn't accept himself for a whole life. He didn't achieve wellness.,Wellness is acceptance of oneself.,Self-esteem is the ability to accept oneself as a human being.
My pet tom is in the mating season. He eats very little.,Toms eat very little during mating season.,Mating season is the time when most of the eggs hatch.
Tom's family go hiking on the plain. They find mangroves.,Mangroves grow on flat terrains.,Mangroves are one of the few plants native to the United States.
This kind of bear grew in the forest. This kind of bear habitates in the forest.,Growth affects bear habitats.,Bears have a habitation style similar to a bear.
Water with minerals flows in the water mains. On the surface of water mains is some solid stuff.,Sediment is the result of an accumulation of minerals in the water mains.,Mains are made up of rocks deposited on the surface by the ocean currents.
She was particularly fat. She had been suffering from diabetes.,Diabetes is caused by obesity.,Diabetes is the leading cause of death in young women in the United States.
It is in the breeding season. Testicles descend.,Testicles descend during breeding season.,Testicles descend from the ovaries.
The anaconda saw his food in the forest. He opened his mouth.,Anacondas swallow their prey whole starting with the head.,Anacondas swallow their prey by opening their mouths to swallow it.
The rope connected to my dog was broken. It ran to other's areas.,Dogs invade areas.,Ropes connect to other dogs' areas of interest.
Tom was standing in the river and can't move a step. His legs are entangled in duckweed.,Duckweeds grow in water.,Duckweed is one of the most difficult insects to control because it is difficult to control due to the high.
Tom observed the nucleoli of different kinds of chromosomes under the optical microscope. Tom observed that most of them contain several associated centromeres.,Nucleoli contain at least one usually several associated centromeres.,Centromes are a group of non-homologous proteins found in many different types of chromosomes.
The research set specific aspartate sites. Caspases cleave target proteins.,Caspases cleave target proteins at specific aspartate sites.,Aspartate is cleaved by cleaving the aspartation site at the site of cleavage.
We succeed in the end. Our fate has been changed.,Fate depends on success.,Ends have consequences.
Some plants are infected by a rare kind of virus. Their cotyledons are destroyed first.,Cotyledons are the site of primary infection.,Cotyleties are among the most common types of infected plants.
They went to catch eels today. Many were found after seeing a leaking head in crevices.,Eels tend to hide in crevices during the day with only their head visible.,Eels are one of the most common types of eel.
Tom's goats were attacked by vampires. The goats died of blood shortage.,Vampires can drink blood.,Vampires can also cause the death of a goat by eating their own blood.
This user spent over 8 hours a day at this site. This user had a high level of stickiness.,Stickiness is a measure of the amount of time a user spends at a site.,Stickiness is the ability to stay in a state of undisturbed motion during a prolonged period of time.
Lucy gave me a pen. I bought ink for the pen.,Pens use ink.,Pens have ink cartridges.
We need a person skilled in all aspects of construction. A carpenter will be recruited.,Carpenters are field personnel skilled in all aspects of construction.,Carpenters are skilled in the art of making tools from wood to metal.
Tom was born and brought up in Indinana. Tom is American.,Indiana is part of America.,Indinana is part of the country of India.
Some enzymes are working on the dead body of a bird. The body decomposes gradually.,Decomposition is the process of enzymes digesting food.,Alkalinity is a measure of the amount of carbon dioxide in the air as it decomposes.
Many goods have been reduced in price recently. Deflation makes all kinds of shops miserable.,Deflation is a decrease in the general level of prices as measured by some price index.,Deflation is the process of reducing the value of a currency.
Judy suffered from tics. She had involuntary movements in her body.,Tics are involuntary movements in the body.,Tics are involuntary movements caused by the pressure of the muscles on the outside of the mouth.
Tom wants to have a bath. Tom filled the bath tub with hot water.,Baths are made of warm water.,Baths are pools of hot water in the middle of a pool of warm water.
This monster killed a boy. This monster was pleased.,Killing causes pleasure.,Punishment is the act of gratifying a desire to gratify one's desire to an end.
Hardwoods are deciduous. They lose their leaves each fall.,Hardwoods are deciduous meaning they lose their leaves each fall.,Deciduous trees have a hard time keeping their leaves in place during the winter due to frost.
"Knowing that live plants will release oxygen as they grow, a scientist makes experiments to find more information about their process of growth. The scientist finds that aeration also accurs as they grow.",Aeration also occurs when live plants release oxygen as they grow.,Aeration is the process of transferring oxygen from the atmosphere to the body by way of respiration.
John only sells amphetamines. He only looks for people who have failed other weight loss methods.,Amphetamines are only to be used by people who have failed other weight loss methods.,Amphetamines are the most common type of drug used to treat a variety of medical conditions.
The author used Personification to descibe the inanimate object. The reader felt  as though it had human capacities.,Personification is the description of an inanimate object as though it had human capacities.,Personification is the use of a computer-based system to describe inanimate objects.
They dissected the human ear to see the structure of cochlea. They found there were  a basilar turn with a cystic cavity.,Cochlea consists of a basilar turn with a cystic cavity.,Cochlea is a basal turn in the middle of the canine ear.
His mother carried the decay-causing bacteria and kissed him. He was infected.,Parents can spread decay-causing bacteria to their children in their saliva.,Diseases can be spread by direct contact with the body's own immune system.
Oil is lost quickly during drilling. Workers use acrylamide.,Acrylamides find use in oil-drilling processes to control fluid losses.,Acrylamides are a natural gas used in the drilling process to make oil.
Several moles were introduced into a piece of farmland where harmful insects thrived. The insects decreased swiftly in number.,Moles help control populations of harmful insects.,Moles are the most common invasive species of mollusks due to their rapid decline.
Tom's grandmother is a witch. Many altars have been set up in his courtyard.,Altars are a witches' way of focusing their thoughts similar to prayer.,Altars are places of worship.
Breast tissue is expected to be activated. Prolactin is needed.,Prolactin activates breast tissue.,Proteins are released from the mammary epithelium to stimulate the release of prolactin.
Tom was interested in studying movement. Tom majored in kinesiology.,Kinesiology refers to the study of movement.,Kinesiology is the study of movement.
We came to Pygmy land. They took us in.,Pygmies share habitats.,Pygmy is a national language spoken by about one-third of the population.
Tom wanted some lahars. He went to a volcano and got some accumulations of unconsolidated materials on the flanks.,Lahars are accumulations of unconsolidated materials on the flanks of volcanoes.,Lahars are a type of glacier-like rock in the western hemisphere.
Tom sweats a lot. The doctor said he was suffering from a skin disease.,Tinea occurs in people who perspire a lot.,Swells are caused by the inflammation of the skin.
The seller should avoid nature's way of spoiling things like food. He found ways to prevent oxidation.,Oxidation is nature's way of spoiling things like food.,Oxidation is the process of breaking down carbohydrates into their constituent amino acids.
She is the best receptionist in her company. She is very good at communicating with others.,Receptionists should have communication skills.,Receptionists are professionals who provide professional services to individuals.
The man took a photo of the bipe. His friend saw the two small front limbs on that photo.,Bipes has two small front limbs.,Bipe is a small bipedal animal.
He can't see clearly. There must be something wrong with the nuclei in his brainstem.,Vision is controlled by groups of cells called nuclei in the brainstem.,Nuclei are present in all regions of the brainstem including the frontal lobes.
Tom has a weak photosensitivity. He was allergic to the sunshine.,Photosensitivity is a common reaction to the sun.,Sunshine can cause a skin reaction in some people who are sensitive to sunlight.
The researcher marked the different allotropes of sulphur. The researcher found five types of sulphur.,Sulphur can exist as five different allotropes.,Allotropes are a group of six allotropic sub-units found in the sulphur family.
Bill put oil on the firewood. The whole kitchen was burnt down more quickly.,Fuel leads to rapid combustion.,Burns are caused by combustion of carbon monoxide into the air than by the release of hydrogen peroxide.
Lucy has suffered from the gonococcal infection when she was pregnant. The doctor gave him some medicine containing spectinomycin.,Spectinomycin is used to treat certain gonococcal infections during pregnancy.,Spectinomycin is a drug used to block the growth of gonococci in the mother's blood.
"A woman got infectious in her wound, which led to bacteremia. The doctor used antipyretic to treat her fever.",Bacteremia causes a fever but no other specific symptoms.,Antipyretics can prevent the spread of a virus from the body to the next host.
Jack put amylase into starch. The breakdown of starch is accelerated.,Amylase catalyses the breakdown of starch.,Amylase is a type of enzyme involved in the degradation of starch.
Peter likes to go fishing by the lake in spring. He often catches walleye.,Walleye move in from miles away in early spring to lay their eggs.,Walleye are one of the most abundant fish in the area.
Tom suffered from the demyelination many years ago. He recently was diagnosed with the multiple sclerosis.,Demyelination leads to progressive dysfunction such as seen in multiple sclerosis.,Demyelination is one of the leading causes of death in people with the disease.
There are different kinds of weather in different places on the earth. It is much colder along fault lines.,Colds happen in the winter earthquakes along fault lines hurricaines in the ocean.,Fault lines are a type of fault line in the earth's atmosphere.
Luke's backbones received outside pressure. His rigid bones bent.,Bones are rigid but they do bend when outside pressure is applied.,Ribs are the bones inside of the vertebrae at the base of the spinal column.
Gems are precious. Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom.,Gems are the flowers of the mineral kingdom.,Gems have special properties.
Jack is a hairdresser. His hands were corroded by chemical products.,Hairdressers use chemical products.,Hairdressers are made of chemicals.
Tom submitted my ideas as his own. He was accused of plagarism.,Plagiarism is the act of submitting another person's ideas as one's own.,Pagnarism is a disease of the brain caused by an excessive amount of fluid in the brain.
His eyes were lack in light-gathering agents. He should eat more carrots which is rich in carotenoids.,Carotenoids are light-gathering agents in the pigments of eyes.,Carotenoid is present in many plant-derived foods.
Tom was a homosexual. He also had basic needs to make love as others.,Homosexuals are human beings with the same basic needs as all human beings.,Homosexuals have basic needs.
Hemingway had a rich life experience. He produced wonderful literature based on his experience.,Literature is the creative expression of human experience.,Literacy is the process of producing knowledge from one's own mind to the advantage of others.
The patient suffers from post-polio syndrome. The patient is plagued by weakness.,Weakness is the general symptom of post-polio syndrome.,Post-polion syndrome is a disease characterized by weakness in the central nervous system.
"Tom is taking a course in cryobiology. When he does experiments, he needs to freeze the biological specimens in advance for observation.",Cryobiology is the science of preserving biological specimens at low temperatures.,Cryobiology is the study of frozen biological specimens.
This house has some infiltration problem. Temperature in this house can be very low in winter.,Infiltration refers to the leakage of undesired air into the home.,Infiltration is the process of breaking down carbon dioxide from the atmosphere into the air to reduce the amount of carbon.
Emily has many beautiful dolls. Each of them has a fashion hairstyle.,Dolls have heads.,Dollars have different shapes.
The physics teacher will explain the nature of current in this lesson. He talked a lot about current loads.,Current has load.,Current is the amount of current flowing through a system.
Bob wants to study photosynthesis. He found many trees with good branches.,Branches dedicate to photosynthesis.,Photosynthesis is the process of converting carbon dioxide into hydrogen peroxide in the atmosphere.
The customer considered geomancy  very important. The house selling girl emphasized the spiritual ecology of the house.,Geomancy is spiritual ecology.,Geomancy is the study of the relationship between the physical environment in the home and the spiritual nature of the.
Seals are mammals. They can live well in winter.,Seals are protected from the cold by a thick layer of blubber combined with a thick fur coat.,Livestock feed on the leaves of a small number of small mammals.
His mother has just gone through menopause. His mother's bone began to lose rapidly.,Women lose bone rapidly after menopause.,Menopause is the most common cause of bone loss in women.
This disease caused degenerative changes of the myocardium in Tom's heart. The bulk of the heart's mass was negatively affected.,Myocardium constitutes the bulk of the heart's mass.,Degenerative changes can occur in the central nervous system as well as in the peripheral nervous system.
The Father gave my baby immersion. My baby was baptized.,Immersion is baptism.,Inhabitants receive baptism.
Tom wandered in the early spring. Tom saw snowdrops.,Snowdrops are the early spring flowering bulbs.,Snowdrops fall from trees.
I am a citizen with all legal rights. I have enfranchisement regardless of my nationality.,Enfranchisement is a right to be decided independently from nationality.,Enfranchise is the act of transferring one's citizenship to another person without the consent of the other person.
I lack vitamin C. My mom buys oranges for me.,Oranges have a high vitamin c content.,Oranges are a great source of vitamin C because they are a rich source of the essential vitamin c.
Parakeets were caught by hunters in their natural environment. Their nomadic lives were broken.,Parakeets lead nomadic lives in their natural environment.,Dachshunds live in areas with abundant food sources.
