He observed the process from germination of seeds to eventually maturation of plants. He obserevd the growth of the embryo inside the seed at first.,Germination is the growth of the embryo inside the seed eventually growing into a mature plant.,"

Seed germination is the process by which seeds germinate."
"The financial crisis left many people homeless. After the financial crisis, the suicide rate increased significantly.",Homelessness greatly increases the likelihood of a suicide attempt., The number of people who suffer from mental illness is increasing.
The two competitors became friends of reciprocity. They often exchange their own privileges.,Reciprocity is a mutual exchange of privileges.,"

""I don't think reciprocity is a bad thing,"" she said."
Mary read some papers. She knew lots of details.,Paper gives details.,"

""I don't know what they are,"" she said."
Sam wished to eat stew for supper. Sam's wife went to buy some meat.,Stew makes with meat., She said she'd like to eat a stew.
It's half way through autumn. It rains more in half autumn than in spring and summer combined.,Autumn is the season when rain is likely to fall.,"

Rainfall is one of the main sources of greenhouse gases in the atmosphere."
The major planets interact. There is gravity among the planets.,Gravitation involves interaction., Gravity is one of the major causes of the planet's orbit around the sun.
Tom has a civet. The civet eats the fish quickly.,Civets have sharp teeth.,"

Civets eat the fish slowly."
Alice likes the smell of milk. She always eats cakes with a lot of cream.,Cream has taste.,"

Cake cake is one of the most popular desserts in the world."
Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy. He looked it up and found out that it was because they were so bright.,Quasars drown out the light from all the other stars in the same galaxy because they are so bright.,"

Quasars are the most common star in the Milky Way."
Simon's mother often let Simon eat soys. Simon grows healthy.,Soy offers health benefits., Simon is very active.
A factory produces several tons of tissues from straws. The quality of these tissues is different.,Straw is a nonhomogeneous material., Straws are the most common source of tissue in the United States.
Jack added nitrites into the water. The catfish died earlier than the scalefish in the water.,Nitrites are more toxic to catfish than scalefish.,"

Nitrites are toxic to fish."
His action led to the movement of the wheels. The machine was set in motion.,Movement results in motion., The wheels moved at the speed of light.
Jack's interest is to study human species. He decides to choose anthropology as his major in college.,Anthropology is the discipline devoted to the study of the human species.,"

Ethnomusicology is a field of study that involves the study of animals."
Father of our religion combined a union of opposite tenets. His action of syncretism was praised.,Syncretism is the attempted union of opposite tenets is the current fashion in religion.,"

Paganism is one of the oldest religions in the world."
Various features show that this is a dicot in the family Piperaceae. Researchers suspected it is a peperomia.,Peperomia is a dicot in the family Piperaceae.,"

Piperomia is the most common family of phytoplankton."
Tom has measured the magnetism of the material. It is 15 gammas.,Magnetometers measure magnetism in units called gammas.,"

Magnetism is a measure of the magnetic field of a magnet."
Tom studied the types of polypropylene. He found that they came in two types.,Polypropylene comes in two types., Polypropylene is a type of polyethylene.
The source of the mud was investigated. It was reported that the soil source was very rich.,Mud comes from rich environments.,"

Mud is a mineral found in the earth's crust."
The student feel anxious to take the exam. Her teacher gave her a warm smile.,Laughter increases relaxation when under stress.,"

""I'm going to take it,"" she said."
This charity donates money to Asian areas with famine. Some people western india were helped.,Famine occurs in western india.,"

Indonesia is one of the poorest countries in the world."
The state began to crack down on competitive economic activities in an all-round way. The state has launched a policy of collusion.,Collusion is the antithesis of competitive economic activity.,"

In the past few years, the state has been involved in a number of trade agreements with other countries."
Tom improved his learning efficiency today. He finished all his homework ahead of schedule.,Efficiency is the process of maximizing the productivity of inputs., He also learned a lot.
Tom wants to eat watermelon. Tom cut the rind of the watermelon.,Melons have rinds., Then he slices it in half with a knife.
Tom give the circuit voltage. Tom has observed charge movement.,Voltage is the potential to move.,"

Tom is able to measure the charge in the circuit."
This child caught roseola. The child had a fever which followed by a rash.,Roseola is a very common viral illness characterized by fever followed by a rash., The rash was caused by the presence of roseola in the water.
A species gradually adapted to its environment. This phenomenon is called speciation.,Speciation is often the result of environmental adaptation.,"

Speciation occurs when a species adapts to a new environment."
Tom was studying how body temperature rises. He found out that cytokines worked in it.,Cytokines cause the body s temperature to elevate by resetting the brain s thermostat.,"

""Cytokines have a role in inflammation,"" he says."
Now it's time to remove the drugs from the patient's body. Various elimination processes was adopted to achieve that.,Drugs are removed from the body by various elimination processes.,"

Methadone is one of the most commonly used drugs in the treatment of opioid withdrawal."
He successfully solved the problem. He has a clear understanding of this problem.,Problem solving is central to cognition.,"

Determining the most effective way to solve a problem is the most difficult part of solving it."
The villagers were happy about the harvest. They had enough food this year.,Harvest can mean harvesting of the food.,"

""We have a lot of vegetables."
The lecturer is talking about t lymphocytes. I can hear t-cells sometimes.,T lymphocytes are also called t-cells.,"

T lymphocytes are part of the immune system."
The scientist put some pyridine in the water. He found the pyridine disappeared.,Pyridine is very soluble in water.,"

Pyridine is one of the most common drugs used to treat cancer."
Amy served as an assistant in this company. Amy is good at services work.,Assistants specialize in services., She has a strong sense of humor.
Virus attacked the mosquitoes. Human might get infected owing to sick mosquitoes.,Mosquitoes get sick just like human beings do.,"

Mosquitoes have been known to infect humans."
Henry always runs into hindrances in doing business. It is difficult for him to get mind equilibrium now.,Hindrances influence equilibrium.,"

He has the ability to make decisions."
The school will hold a ceremony the day after tomorrow. The school will hold a simulation in advance tomorrow.,Simulation includes examples.,"

""We are very excited about the results of the simulation."
Tom has taken use of two pieces of magnets to make his experiment. He has proved something about the attraction.,Ferromagnetism describes strong attraction to magnetic fields.,"

""Magnetism is a very strong attraction,"" he says."
The small chicken shoud be incubated under the same temperature. Tom takes use of a thermostat.,Thermostats detect temperature., Heat is used to control the temperature of the chicken.
She is allergic to yeast. She cannot have contact with dough.,Dough contains yeast.,"

Bread is made from wheat flour."
The workers have no idea about how to operate the computer. The leader taught them in person.,Leaders display technical knowledge.,"

""We have a computer."
The patient with fibroadenomas read his report of mammography. He was in relief for its benign appearance.,Fibroadenomas have a benign appearance on mammography.,"

Fibroadenoma is the most common type of cancer in women."
The children will be shipped off to a boarding school. Their parents taught their children how to solve living problems independently before going to school.,Independence is an emotion to be encouraged during the early preschool years.,"

""Parents are very good at solving problems."
He went to school. He learned a lot.,Schools are places of learning., He was a good student.
The workers are in charge of cleaning debris. They have to consider the waste.,Debris includes waste.,"

""Waste is one of the most important things in the environment,"" said Dr."
He asked the cardiologist to watch the condition of the heart. The doctor said that his heart rhythm is uneven.,Cardiologists can watch the heart pumping.,"

Cardiac arrhythmias are caused by a number of causes."
Enzymes are necessary for children's growth. Children are encouraged to eat sprouts.,Sprouts are in fact one of the richest sources of enzymes., Sprouts are a nutritious source of protein.
The house of the people holds justice. Parliament is a place of justice.,Parliament is the house of the people., The people have the right to decide their own future.
The man devoted himself to journalism. He mastered the popular language used in pursuit of truth.,Journalism is the popular language used in pursuit of truth.,"

He is known as the ""Journalist of the Year."
Tom found a small dome-shaped beetle. He said he got a ladybug.,Ladybugs are small dome-shaped beetles.,"

""The ladybug is the most common type of beetle in the United States,"" he said."
The primates didn't want to be exhibit animals. They escaped from the zoo.,Zoos collect primates as exhibit animals.,"

""Piggybacking is one of the most common primate behaviors in the wild,"" said."
"The root of the plant rotted. In order to save the plant, Tom gave it a rhizoid.",Rhizoids function as roots.,"

Rizoids are plants that grow in the soil."
Tom was a shepherd. He took care of a flock of sheep.,Shepherds keep sheep.,"

""He was a good shepherd,"" he said."
Tom feels that his asthma is about to attack. He eats some singulars.,Singular is a drug used to prevent the acute attacks of asthma., He has no other choice but to eat them.
The teacher gives an example to illustrate the grammar point. But the students can't understand the example.,Examples have limitations.,"

Grammar is a way of thinking about ideas."
Nobody has seen edaphosauruses before. The scientist observed its appearance.,Edaphosauruses have appearances., Edaphosurs have a wide variety of habitats.
All relatives entered the family room. They sat on the chairs one by one.,Chairs sit in family rooms.,"

""I didn't know what to do,"" he said."
"There are many people, among which part of them are with normal sight and part of them are blind. Normal people can see everything and blind people are in a dark world without any light.",Blindness is viewed in almost the opposite light.,"

Blindness is the most common cause of blindness."
The wine must be kept from becoming flabby. Acidity should be used.,Acidity is used to keep the wine from becoming flabby.,"

Acidity is a measure of the amount of water in the wine."
Tom ran into an anemone. He was poisoned.,Anemones release toxins.,"

""I'm sorry,"" he said."
The company keeps the steel in a wet warehouse. The company loses one million due to rust after a few months.,Moisture is the main cause of rust.,"

""We have a lot of steel in our warehouse."
Mary ate lots of chocolate. She also intook theobromine.,Chocolate contains an ingredient called theobromine.,"

Cocoa is one of the most widely consumed foods in the United States."
Tracheilds are not suitable to be used as fire materials. Farmers do not use softwoods as firewoods.,Softwoods contain only tracheids.,"

Firewood is a wood product."
The field was very quiet at night. The silence was broken by several bird calls.,Blackbirds break up the quiet by cawing while soaring overhead., A few birds flew away from the field.
The possum has eaten an ill bird. It died.,Possums acquire the disease by eating infected birds.,"

Possums eat ill birds."
He served as an accountant in this company. He worked hard to manage the balance.,Accountants desire balance., He also had a strong sense of responsibility.
Lyle has ophthalmologist. Lyle's doctor treated him with a laser.,Ophthalmologists commonly treat proliferative retinopathy with laser therapy.,"

Lyle is very sensitive to light."
This experiment requires a gray-white solid with a shiny surface. The teacher provided tellurium.,Tellurium is a grayish-white solid with a shiny surface.,"

The material is made of calcium carbonate."
Their new baby born yesterday. This new life starts to cry.,Lives start with breathes.,"

Crying is the most common cause of birth defects in babies."
The vocal folds vibrated. Compression sound waves were produced.,Vibration creates compression waves.,"

Sensation was generated by the vocal folds."
Jack's hemoglobin levels are low. He has been dizzy lately.,Hemoglobins have mass.,"

Hemoglobin levels in the brain are high."
Jerry was baptized. He was identified by the believers.,Baptism is an identification with the community of believers.,"

Prayer is a form of prayer."
"Emma, who is a regular coffee drinker, is very hyper these days. The doctor diagnosed him as caffeinism.",Caffeinism is a stimulated condition of chronic poisoning due to over-indulgence of caffeine.,"

Caffeine is a stimulant in the body."
Tom eats some health products containing enzymes every day. He defecates on time every day.,Metabolism takes place by enzymatic catalysis.,"

Dietary enzymes are the main source of dietary protein."
The angry patient was injected depressants. He felt calm and relaxed.,Depressants produce relaxed calm feelings.,"

""I didn't know what was going on,"" he said."
The victims were taken to the police office to identify the crimnimal. They tried to recall the face of the criminal.,Criminals have faces.,"

Police have been investigating the case."
Lucy has bought a llot of fresh fruit. She has made a glass of smoothy.,Smoothies are made of fresh fruit., She makes a bowl of ice cream.
He just took the pills. He wants to sleep very much now.,Pills cause a desire to sleep.,"

""I don't want to go to the hospital."
My mother stewed a mahimachi for me at noon. I've been picking fish bones for a long time.,A mahimahi is a bony fish., I don't know if I'll ever be able to eat them again.
They are botanists. They collect specimens everyday.,Botanists collect specimens., Botanists have a long history in the field of botany.
The old man wants to catch some sunfish. He caught a bluegill.,Bluegills are a member of the sunfish family., He wanted to catch it.
This mobile phone is not durable. The battery often fails to charge.,Phones have cell batteries.," If the phone is damaged, the phone will have to be replaced."
Tom was finding the fly in his house at night. He failed.,Flies are also interesting because they are only active during the day.,"

""I couldn't believe it,"" he said."
The baby ground squirrels were hidden by their mom. They were not found by the rattlesnakes.,Rattlesnakes love baby ground squirrels.,"

Rattlesnake nesting sites have been found in the United States, Canada and Australia."
Tom committed incest and rape. He was sentenced to death.,Incest is a serious offence under the criminal code.,"

He is the father of four children, including a daughter."
Gongress passed some proposals. Small buiness benefited from these proposals.,Proposals help small business.,"

In the early 1970s, the small buiness of the United States made it easier for the government."
Tom's taste buds on his tongue all lost their function. Tom couldn't be able to know the taste of whatever he eats.,Taste is sensed by taste buds on the surface of the tongue.,"

""I have no taste buds."
He mistook lots of thiocyanate. His thyroid can't uptake iodine normally.,Thiocyanate interferes with iodine uptake by the thyroid.,"

Thyroid is the body's main source of iodine."
This creature has no anatomies. Tom decided it isn't a colugo.,Colugos have anatomies.,"

Colugo is one of the most common types of colugos."
He fed meat to the Jackrabbit. The jackrabbit doesn't eat at all.,Jackrabbits are strict vegetarians.,"

Jackrabbits eat meat."
Tom perfers beers made with bottom Fermenting yeasts. He ordered lagers in the bar every time.,Lagers are generally beers made with bottom Fermenting yeasts.,"

Fermenting Yeasts are the most common type of fermenting yeast in beer."
The species populations in this area changed abnormally over time. The process of Succession here was worth exploring.,Succession is the process of the species populations in an area changing over time.,"

Succession occurs when a group of individuals migrate from one place to another."
Tom has put different kinds of materials in the furnace. Only beryllium has been left.,Beryllium is the only stable light metal with a relatively high melting point.,"

Bryllium is one of the most common metals used in furnaces."
The ancients recorded by picture writing. Pictographs were formed step by step.,Pictographs are picture writing.,"

Picture writing is the process by which pictures are made."
"My car is exposed to the acid rain,. The paint on my car is clipped.",Acid rain could effect a car's color., I have a small amount of water in my car.
Jane wanted to buy a book full of maps bound together. She bought some atlases.,Atlases are maps bound together as books.,"

""I think it's the most important part of the book,"" she said."
Mary put the cake into the refrigeratory. Mary found the cake was rich in moisture the next day.,Refrigeration causes excess moisture.,"

On the third day of the week, the cake is still moist."
"The doctor treated little Tom's autism with medication. After three months of treatment, his autism has improved significantly.",Medications play a role in treating an individual with autism.,"

Tom's autism is caused by a genetic mutation in the gene that causes autism."
There are many trees with different ages. They have different textures.,Texture reflects differences., Trees have different shapes.
Surface gauss depends on thickness and size of the magnet. Gauss strength diminishes the further the distance from the magnetic field.,Gauss refers to the designated strength of a magnetic field of energy., Gaussian motion is a measure of the speed of light moving at a given point in time.
This group of Greys have grown up. They are large.,Greys grow to a large size., Greys live in a small community.
The sink has great capacity. It can hold water up to two liters.,Capacity is measured in liters., It is also a good source of clean water.
Jack looks at the shape of the rotifers. He saw their bilateral symmetry.,Rotifers have bilateral symmetry.,"

Rotifers have asymmetry."
Tom did examinations to see whether he got cancer. The doctor's diagnosis confirmed his thought.,Examinations confirm diagnoses.,"

""He was diagnosed with cancer,"" said Dr."
Tom believes that dogs and wolves belong to the same phylum. Tom is wrong.,Phyla consist of simple multicellular animals.,"

Phylum: Phylum: Arthropoda

Arthropoda is the largest phylum in."
The light was off at 10 pm. My pupils became bigger suddenly.,Pupils change size., I couldn't see anything.
Susan is a midwife. She was specially trained in childbirth.,Midwives are women with specific training in childbirth.,"

Pregnancy is the most common cause of death in the United States."
He invited his partners to his residence. They entered his residence.,Partners enter residences., He asked them if they wanted to leave.
"In the humid environment, pecan is easier to grow mold on it. Pecan should be stored in the relatively dry environment.",Pecans are also prone to infection by fungi especially in humid conditions.,"

Pecan is a high-quality food source."
This biologist has problems in other scientific fields to solve. Another bilogist helps him.,Biologists include other scientists., Bilogist is a type of naturalist.
"Leaders of pyramid schemes are extremely good at instilling their own perceptions to members. As time goes by, their influence on members grows stronger and stronger.",Influence is the ability to shape perceptions in people's heads.,"

Ponzi schemes have a number of benefits."
Tom was looking for Amphibians in winter. He could only found some sleeping.,Amphibians hibernate during winter.,"

""I didn't know if it was possible to find a place to sleep,"" he said."
The murderer didn't accept himself for a whole life. He didn't achieve wellness.,Wellness is acceptance of oneself., He just wanted to live.
My pet tom is in the mating season. He eats very little.,Toms eat very little during mating season., He is a very small dog.
Tom's family go hiking on the plain. They find mangroves.,Mangroves grow on flat terrains., Mangroves are one of the most abundant natural resources in the world.
This kind of bear grew in the forest. This kind of bear habitates in the forest.,Growth affects bear habitats.,"

A bear is one of the most common types of bear in the United States."
Water with minerals flows in the water mains. On the surface of water mains is some solid stuff.,Sediment is the result of an accumulation of minerals in the water mains., Mineral deposits are found in the rocks.
She was particularly fat. She had been suffering from diabetes.,Diabetes is caused by obesity.,"

""I think it's fair to say she didn't have a lot of weight loss."
It is in the breeding season. Testicles descend.,Testicles descend during breeding season., The testicles are removed at the end of the mating season.
The anaconda saw his food in the forest. He opened his mouth.,Anacondas swallow their prey whole starting with the head.," ""I'm going to eat my food,"" he said."
The rope connected to my dog was broken. It ran to other's areas.,Dogs invade areas., I couldn't get out of the rope.
Tom was standing in the river and can't move a step. His legs are entangled in duckweed.,Duckweeds grow in water.,"

Duckweed is one of the most common insect pests in the United States."
Tom observed the nucleoli of different kinds of chromosomes under the optical microscope. Tom observed that most of them contain several associated centromeres.,Nucleoli contain at least one usually several associated centromeres., The centromes are located in the nucleus of the chromosome.
The research set specific aspartate sites. Caspases cleave target proteins.,Caspases cleave target proteins at specific aspartate sites., The cleavage of a cleavage site is the process by which a protein is cleaved.
We succeed in the end. Our fate has been changed.,Fate depends on success., We have to change.
Some plants are infected by a rare kind of virus. Their cotyledons are destroyed first.,Cotyledons are the site of primary infection.," Then, the plant dies."
They went to catch eels today. Many were found after seeing a leaking head in crevices.,Eels tend to hide in crevices during the day with only their head visible.,"

Eels are one of the most common vertebrates in the world."
Tom's goats were attacked by vampires. The goats died of blood shortage.,Vampires can drink blood.,"

Vampires have been known to attack goats."
This user spent over 8 hours a day at this site. This user had a high level of stickiness.,Stickiness is a measure of the amount of time a user spends at a site.,"

User Experience is one of the most important aspects of usability."
Lucy gave me a pen. I bought ink for the pen.,Pens use ink.,"

""I'm going to start writing soon,"" she said."
We need a person skilled in all aspects of construction. A carpenter will be recruited.,Carpenters are field personnel skilled in all aspects of construction.,"

Carpenters are skilled in the following areas:

Construction."
Tom was born and brought up in Indinana. Tom is American.,Indiana is part of America., He grew up in the United States.
Some enzymes are working on the dead body of a bird. The body decomposes gradually.,Decomposition is the process of enzymes digesting food.,"

Proteins are found in birds."
Many goods have been reduced in price recently. Deflation makes all kinds of shops miserable.,Deflation is a decrease in the general level of prices as measured by some price index.,"

Deflation is the process by which goods are devalued."
Judy suffered from tics. She had involuntary movements in her body.,Tics are involuntary movements in the body., Tics are involuntary movements of the body.
Tom wants to have a bath. Tom filled the bath tub with hot water.,Baths are made of warm water., Tom is very sensitive to water.
This monster killed a boy. This monster was pleased.,Killing causes pleasure.,"

""I don't know what to do,"" the boy said."
Hardwoods are deciduous. They lose their leaves each fall.,Hardwoods are deciduous meaning they lose their leaves each fall.,"

Deciduous trees have a number of different types of leaves."
"Knowing that live plants will release oxygen as they grow, a scientist makes experiments to find more information about their process of growth. The scientist finds that aeration also accurs as they grow.",Aeration also occurs when live plants release oxygen as they grow., Aeration is the process by which plants expel oxygen from the air.
John only sells amphetamines. He only looks for people who have failed other weight loss methods.,Amphetamines are only to be used by people who have failed other weight loss methods.,"

Marijuana is one of the most popular drugs in the United States."
The author used Personification to descibe the inanimate object. The reader felt  as though it had human capacities.,Personification is the description of an inanimate object as though it had human capacities.,"

Personification is the ability to relate to other people."
They dissected the human ear to see the structure of cochlea. They found there were  a basilar turn with a cystic cavity.,Cochlea consists of a basilar turn with a cystic cavity.,"

Cochlear implants have been used in the treatment of hearing loss since the early 20th century."
His mother carried the decay-causing bacteria and kissed him. He was infected.,Parents can spread decay-causing bacteria to their children in their saliva.,"

""I went to the hospital."
Oil is lost quickly during drilling. Workers use acrylamide.,Acrylamides find use in oil-drilling processes to control fluid losses., Acrylamides are used in the production of oil.
Several moles were introduced into a piece of farmland where harmful insects thrived. The insects decreased swiftly in number.,Moles help control populations of harmful insects.,"

Moles have been used as pest control since the 1930s."
Tom's grandmother is a witch. Many altars have been set up in his courtyard.,Altars are a witches' way of focusing their thoughts similar to prayer., Altars are used to attract the attention of witches.
Breast tissue is expected to be activated. Prolactin is needed.,Prolactin activates breast tissue.,"

Prolactin has been shown to reduce the risk of prostate cancer."
Tom was interested in studying movement. Tom majored in kinesiology.,Kinesiology refers to the study of movement., He was also a member of the Kinesiology Institute at the University of Illinois at Urbana-Champ.
We came to Pygmy land. They took us in.,Pygmies share habitats., I didn't know what to do.
Tom wanted some lahars. He went to a volcano and got some accumulations of unconsolidated materials on the flanks.,Lahars are accumulations of unconsolidated materials on the flanks of volcanoes.,"

Lahars can be found in volcanic rocks."
Tom sweats a lot. The doctor said he was suffering from a skin disease.,Tinea occurs in people who perspire a lot.,"

""I have no doubt in my mind that it is caused by the skin disease,"" he said."
The seller should avoid nature's way of spoiling things like food. He found ways to prevent oxidation.,Oxidation is nature's way of spoiling things like food.,"

Oxidation is the process by which a substance oxidizes."
She is the best receptionist in her company. She is very good at communicating with others.,Receptionists should have communication skills., She has a strong sense of humor.
The man took a photo of the bipe. His friend saw the two small front limbs on that photo.,Bipes has two small front limbs.,"

""He said he was going to take the photo with the other person, but he didn't have."
He can't see clearly. There must be something wrong with the nuclei in his brainstem.,Vision is controlled by groups of cells called nuclei in the brainstem., He has no idea what it is.
Tom has a weak photosensitivity. He was allergic to the sunshine.,Photosensitivity is a common reaction to the sun., He is sensitive to sunlight.
The researcher marked the different allotropes of sulphur. The researcher found five types of sulphur.,Sulphur can exist as five different allotropes.," Sulphur is present in the earth's atmosphere, including sulphur dioxide and sulphur nitrate."
Bill put oil on the firewood. The whole kitchen was burnt down more quickly.,Fuel leads to rapid combustion.,"

""I don't know how many people have died in the fire,"" he said."
Lucy has suffered from the gonococcal infection when she was pregnant. The doctor gave him some medicine containing spectinomycin.,Spectinomycin is used to treat certain gonococcal infections during pregnancy.,"

Mice who are infected with gonococci have a higher risk of infection."
"A woman got infectious in her wound, which led to bacteremia. The doctor used antipyretic to treat her fever.",Bacteremia causes a fever but no other specific symptoms.,"

Antipyretics have been used in the treatment of infections since the 1930s."
Jack put amylase into starch. The breakdown of starch is accelerated.,Amylase catalyses the breakdown of starch.,"

Amylase is the process by which starch is broken down."
Peter likes to go fishing by the lake in spring. He often catches walleye.,Walleye move in from miles away in early spring to lay their eggs.,"

Walleye are large fish."
Tom suffered from the demyelination many years ago. He recently was diagnosed with the multiple sclerosis.,Demyelination leads to progressive dysfunction such as seen in multiple sclerosis.,"

Neurologist Dr."
There are different kinds of weather in different places on the earth. It is much colder along fault lines.,Colds happen in the winter earthquakes along fault lines hurricaines in the ocean.,"

Temperatures can vary greatly across the globe."
Luke's backbones received outside pressure. His rigid bones bent.,Bones are rigid but they do bend when outside pressure is applied., He couldn't move.
Gems are precious. Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom.,Gems are the flowers of the mineral kingdom., Gems are also used to make jewelry.
Jack is a hairdresser. His hands were corroded by chemical products.,Hairdressers use chemical products.,"

Hairdressers use chemicals to make clothes."
Tom submitted my ideas as his own. He was accused of plagarism.,Plagiarism is the act of submitting another person's ideas as one's own., He claimed to have been a member of a religious sect.
His eyes were lack in light-gathering agents. He should eat more carrots which is rich in carotenoids.,Carotenoids are light-gathering agents in the pigments of eyes.,"

Cannabis is one of the world's most widely used drugs."
Tom was a homosexual. He also had basic needs to make love as others.,Homosexuals are human beings with the same basic needs as all human beings., He wanted to be able to have sex with people.
Hemingway had a rich life experience. He produced wonderful literature based on his experience.,Literature is the creative expression of human experience., His novels are well-known in the world of science fiction.
The patient suffers from post-polio syndrome. The patient is plagued by weakness.,Weakness is the general symptom of post-polio syndrome., Post-traumatic stress disorder (PTSD) is the most common cause of PTSD.
"Tom is taking a course in cryobiology. When he does experiments, he needs to freeze the biological specimens in advance for observation.",Cryobiology is the science of preserving biological specimens at low temperatures., Cryobiology is one of the most common areas of study in cryopreservation.
This house has some infiltration problem. Temperature in this house can be very low in winter.,Infiltration refers to the leakage of undesired air into the home., The temperature is very high in summer.
Emily has many beautiful dolls. Each of them has a fashion hairstyle.,Dolls have heads.,"

Dolls have long hair."
The physics teacher will explain the nature of current in this lesson. He talked a lot about current loads.,Current has load.,"

A load is defined as the amount of energy in a system."
Bob wants to study photosynthesis. He found many trees with good branches.,Branches dedicate to photosynthesis., He is looking for photosynthesis in the leaves.
The customer considered geomancy  very important. The house selling girl emphasized the spiritual ecology of the house.,Geomancy is spiritual ecology., Geomancy is the study of the relationship between the earth and the earth.
Seals are mammals. They can live well in winter.,Seals are protected from the cold by a thick layer of blubber combined with a thick fur coat., Mammals eat a wide variety of plants.
His mother has just gone through menopause. His mother's bone began to lose rapidly.,Women lose bone rapidly after menopause., He is in the process of bone loss.
This disease caused degenerative changes of the myocardium in Tom's heart. The bulk of the heart's mass was negatively affected.,Myocardium constitutes the bulk of the heart's mass., This is due to the loss of blood flow to the heart.
The Father gave my baby immersion. My baby was baptized.,Immersion is baptism., He was baptized by the Holy Spirit.
Tom wandered in the early spring. Tom saw snowdrops.,Snowdrops are the early spring flowering bulbs., He ran into a small tree.
I am a citizen with all legal rights. I have enfranchisement regardless of my nationality.,Enfranchisement is a right to be decided independently from nationality., I am entitled to the same rights as other citizens.
I lack vitamin C. My mom buys oranges for me.,Oranges have a high vitamin c content., I have high blood pressure.
Parakeets were caught by hunters in their natural environment. Their nomadic lives were broken.,Parakeets lead nomadic lives in their natural environment.,"

Hunters have a long history of hunting."
Mary wants to cook in the kitchen. Mary find the kitchen in a restaurant.,Kitchens appear in restaurants., She cooks at home.
Lucy works in a courthouse. She can have a rest after the daytime.,Courthouses are daytime buildings.,"

""I have a lot of time,"" she said."
Lucy has reached her sexual maturity. Her menstruation starts.,Menstruation starts when a female has reached sexual maturity.,"

Masturbation is the most common symptom of menstruation."
Tom saw a typical virago for the first time. He was shocked.,Viragos have shocks.,"

""I've never seen something like this before,"" he said."
The percentage of oxygen is low in water. Iguanas have difficulty in breathing.,Iguanas hold underwater breaths., Oxygen is a key component of the body's ability to regulate blood flow.
The rain forest abounds with rain. The vegetation there is exceptionally vigorous.,Rain produces vegetation growth., Rain forests have a high carbon content.
"He took opium. His wound no longer hurts, and he fainted after being excited.",Opium primarily relieves pain raises the spirits then stupefies.,"

""I have to go back to the hospital,"" he said."
Tom cut the head of the perch. He found its jaw.,Perches have jaws., The perch was covered in blood.
Weightlifters train very hard. Their muscles grow fast.,Weightlifters eat enough carbohydrates., They have the ability to lift heavy weights.
The phonetician said the sound has a high frequency. He used the picture of its dense pulses to prove his opinion.,Pulses offer evidence.,"

Phoneticians have a wide range of opinions on the sound."
The frogs have spawned these days. The pond is teemed with eggs. .,Frogs start their lives in eggs in ponds., .
Sally's throat is severely inflamed. Sally cannot make any sound.,Larynxes generate sound., She has severe pain in her throat.
This part of zone is comfortable for birds to live. The birds located this zone as habitat.,Zones provide habitats.,"

Zones provide nesting sites."
